animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,n_acx_go,p_acx_go,n_behavior_match,p_behavior_match,odds_behavior_match,models_agree_only,agreement_state
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,37,25.0,0.0,22.0,0.6756756756756757,0.0,0.5945945945945946,False,20.0,0.5405405405405406,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,37,18.0,0.0,21.0,0.4864864864864865,0.0,0.5675675675675675,False,23.0,0.6216216216216216,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,7,0.0,7.0,4.0,0.0,1.0,0.5714285714285714,True,3.0,0.42857142857142855,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,7,0.0,7.0,2.0,0.0,1.0,0.2857142857142857,True,3.0,0.42857142857142855,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,5,0.0,5.0,0.0,0.0,1.0,0.0,True,2.0,0.4,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,6,0.0,6.0,4.0,0.0,1.0,0.6666666666666666,True,1.0,0.16666666666666666,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,27,27.0,0.0,18.0,1.0,0.0,0.6666666666666666,True,14.0,0.5185185185185185,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,21,21.0,0.0,10.0,1.0,0.0,0.47619047619047616,True,17.0,0.8095238095238095,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,25,25.0,0.0,15.0,1.0,0.0,0.6,True,13.0,0.52,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,18,18.0,0.0,9.0,1.0,0.0,0.5,True,11.0,0.6111111111111112,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,19,,,,,,,,,,11.0,0.5789473684210527,1.3750000000000002,True,Models agree (pooled)
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,21,,,,,,,,,,10.0,0.47619047619047616,0.909090909090909,True,Models agree (pooled)
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,19,,,,,,,,,,13.0,0.6842105263157895,2.166666666666667,True,Models agree (pooled)
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,20,,,,,,,,,,13.0,0.65,1.8571428571428574,True,Models agree (pooled)
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,20,,,,,,,,,,12.0,0.6,1.4999999999999998,True,Models agree (pooled)
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,15,,,,,,,,,,10.0,0.6666666666666666,1.9999999999999998,True,Models agree (pooled)
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,21,,,,,,,,,,11.0,0.5238095238095238,1.1,True,Models agree (pooled)
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,17,,,,,,,,,,7.0,0.4117647058823529,0.7,True,Models agree (pooled)
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,4,,,,,,,,,,2.0,0.5,1.0,True,Both Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,4,,,,,,,,,,3.0,0.75,3.0,True,Both No-Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,6,,,,,,,,,,1.0,0.16666666666666666,0.19999999999999998,True,Both Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,2,,,,,,,,,,2.0,1.0,,True,Both No-Go
