animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,var_agree_acx_ofc,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,n_acx_go,p_acx_go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,,,,,,,,,38.0,-0.038004750593824146,0.39473684210526316,0.1578947368421053,0.5789473684210527,0.10526315789473695,0.5526315789473685,0.0,0.3684210526315789,0.0,0.5,0.0,0.8157894736842105,0.24722991689750692,0.0024999999999997507,-0.05307189542483653,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,,,,,,,,,37.0,0.08074534161490662,0.5675675675675675,0.2578796561604584,0.6216216216216216,0.02915451895043719,0.5135135135135135,0.0,0.5405405405405406,0.0,0.4864864864864865,0.0,0.8648648648648649,0.2498173849525201,0.07177700348432028,-0.0008358027505509101,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,,,,,,,,,37.0,0.3182579564489113,0.7027027027027027,-0.10119047619047618,0.4594594594594595,0.07635829662261383,0.5405405405405406,0.0,0.5945945945945946,0.0,0.5135135135135135,0.0,0.8378378378378378,0.2483564645726808,0.051282051282050954,-0.009644789461303531,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,,,,,,,,,38.0,0.05263157894736836,0.5263157894736842,0.028753993610223627,0.5789473684210527,0.05263157894736836,0.5263157894736842,0.0,0.5,8.437694987151189e-17,0.34210526315789475,0.0,0.2894736842105263,0.24930747922437674,0.029151654110710263,-0.08363762823856746,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,,,,,,,,,38.0,0.3467048710601719,0.6842105263157895,-0.11142061281337041,0.4473684210526316,-0.23098591549295783,0.39473684210526316,8.437694987151189e-17,0.34210526315789475,-1.0547118733938988e-16,0.47368421052631576,1.0044874984703796e-16,0.4473684210526316,0.2389196675900277,-0.0075757575757579585,-0.08902983321587984,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,,,,,,,,,37.0,-0.05714285714285722,0.4864864864864865,0.01564945226917051,0.5405405405405406,0.1216617210682493,0.5675675675675675,1.0269562977782697e-16,0.4594594594594595,9.335966343438815e-17,0.40540540540540543,0.0,0.32432432432432434,0.24543462381300218,0.021031207598371352,-0.08175173515140359,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,,,,,,,,,37.0,-0.020319303338171217,0.4864864864864865,-0.1310043668122269,0.43243243243243246,-0.11782477341389719,0.4594594594594595,0.0,0.3783783783783784,0.0,0.43243243243243246,0.0,0.5135135135135135,0.24835646457268082,-0.09611586570111899,-0.12878219554888728,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,38.0,35.0,38.0,,0.9210526315789473,1.0,,False,,,,,,,,,,,,,,,,,18.0,0.47368421052631576
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,38.0,35.0,38.0,,0.9210526315789473,1.0,,False,,,,,,,,,,,,,,,,,22.0,0.5789473684210527
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,37.0,35.0,37.0,,0.9459459459459459,1.0,,False,,,,,,,,,,,,,,,,,17.0,0.4594594594594595
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,37.0,33.0,37.0,,0.8918918918918919,1.0,,False,,,,,,,,,,,,,,,,,20.0,0.5405405405405406
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,38.0,27.0,0.0,,0.7105263157894737,0.0,,False,,,,,,,,,,,,,,,,,14.0,0.3684210526315789
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,38.0,14.0,0.0,,0.3684210526315789,0.0,,False,,,,,,,,,,,,,,,,,18.0,0.47368421052631576
