animal,date,session_type,session_dprime,area,n_units,n_trials,n_folds,accuracy,precision,recall,roc_auc,accuracy_gt,precision_gt,recall_gt,roc_auc_gt,acx_beta,ofc_beta,beta_diff,beta_diff_ci_low,beta_diff_ci_high,histology_fallback
G4A4,27/3/2025,(Novice) 1b Categorization,,OFC,16,204,5,0.6421568627450981,0.6781609195402298,0.5673076923076923,0.6708653846153846,0.4803921568627451,0.4864864864864865,0.5242718446601942,0.4895703162549264,-0.07021431809469743,0.042938295156840195,-0.11315261325153762,-0.5130261643758326,0.2339479371270876,False
G4A4,27/3/2025,(Novice) 2b Categorization,,ACx,158,290,5,0.7034482758620689,0.6,0.6111111111111112,0.7502035002035001,0.5103448275862069,0.5099337748344371,0.5310344827586206,0.49203329369797866,0.10792167663755028,0.14876931843798918,-0.0408476418004389,-0.3825288457568823,0.2617367060438719,False
G4A4,27/3/2025,(Novice) 2b Categorization,,OFC,21,290,5,0.593103448275862,0.4583333333333333,0.5092592592592593,0.6108058608058607,0.5379310344827586,0.5384615384615384,0.5310344827586206,0.5205231866825208,0.10792167663755028,0.14876931843798918,-0.0408476418004389,-0.3825288457568823,0.2617367060438719,False
G4A5,7/4/2025,(1b Expert) 1b Categorization,,ACx,271,300,5,0.6166666666666667,0.7563451776649747,0.6898148148148148,0.5433201058201058,0.4766666666666667,0.4768211920529801,0.48,0.48488888888888887,-0.15631377731152687,0.18546459299389423,-0.34177837030542113,-0.7750720188797277,0.09377924107164555,False
G4A5,7/4/2025,(1b Expert) 1b Categorization,,OFC,40,300,5,0.7233333333333334,0.841025641025641,0.7592592592592593,0.7470238095238094,0.5033333333333333,0.5034013605442177,0.49333333333333335,0.5227555555555555,-0.15631377731152687,0.18546459299389423,-0.34177837030542113,-0.7750720188797277,0.09377924107164555,False
G4A5,7/4/2025,(1b Expert) 2b Categorization,,ACx,17,300,5,0.7133333333333334,0.02564102564102564,0.16666666666666666,0.5616319444444444,0.48333333333333334,0.48148148148148145,0.43333333333333335,0.4990666666666667,-0.15073433140275586,-0.1751678773150376,0.02443354591228175,-0.8523703215741243,0.8240189837286637,False
G4A5,7/4/2025,(1b Expert) 2b Categorization,,OFC,35,300,5,0.7533333333333333,0.05714285714285714,0.3333333333333333,0.5619212962962963,0.5933333333333334,0.5945945945945946,0.5866666666666667,0.5713777777777778,-0.15073433140275586,-0.1751678773150376,0.02443354591228175,-0.8523703215741243,0.8240189837286637,False
G4A5,9/4/2025,(2b Expert) 2b Categorization,,ACx,39,500,5,0.436,0.8469387755102041,0.39712918660287083,0.5119617224880383,0.474,0.47796610169491527,0.564,0.45796000000000003,,,,,,False
G4A6,7/4/2025,(1b Expert) 1b Categorization,,ACx,82,300,5,0.48333333333333334,0.6610169491525424,0.5518867924528302,0.4186856775300171,0.5466666666666666,0.5443037974683544,0.5733333333333334,0.5593777777777778,,,,,,False
G4A6,7/4/2025,(1b Expert) 2b Categorization,,ACx,53,300,5,0.5966666666666667,0.375,0.45161290322580644,0.5808529427042751,0.4766666666666667,0.47586206896551725,0.46,0.4919555555555556,,,,,,False
G4A6,9/4/2025,(2b Expert) 2b Categorization,,ACx,28,500,5,0.502,0.7513227513227513,0.4127906976744186,0.5500801282051282,0.514,0.5124555160142349,0.576,0.524056,,,,,,False
G5A1,16/7,(Novice) ?,,ACx,47,150,5,0.5933333333333334,0.1836734693877551,0.3,0.5183333333333334,0.5066666666666667,0.5063291139240507,0.5333333333333333,0.5015111111111111,0.01006533094428784,-0.5621124288957196,0.5721777598400074,0.043705655332241265,1.167593200194353,False
G5A1,16/7,(Novice) ?,,OFC,65,150,5,0.7533333333333333,0.40540540540540543,0.5,0.6988888888888889,0.6733333333333333,0.6857142857142857,0.64,0.7313777777777778,0.01006533094428784,-0.5621124288957196,0.5721777598400074,0.043705655332241265,1.167593200194353,False
G5A1,16/7,(Novice) 2b Categorization,,OFC,77,82,5,0.45121951219512196,0.3157894736842105,0.3870967741935484,0.4142947501581277,0.5,0.5,0.5853658536585366,0.4907792980368828,,,,,,False
G5A2,16/7,(Novice) 2b Categorization,,ACx,115,136,5,0.8970588235294118,0.0,0.0,0.4538461538461539,0.5808823529411765,0.6119402985074627,0.5694444444444444,0.6174045138888888,-0.327794062443609,0.24395120395065592,-0.5717452663942649,-3.2300177689487817,2.7550869317442856,False
G5A2,16/7,(Novice) 2b Categorization,,OFC,311,136,5,0.9191176470588235,0.14285714285714285,0.16666666666666666,0.717948717948718,0.4485294117647059,0.47692307692307695,0.4305555555555556,0.42947048611111105,-0.327794062443609,0.24395120395065592,-0.5717452663942649,-3.2300177689487817,2.7550869317442856,False
G5A3,17/7,(Novice) 2b Categorization,,ACx,104,299,5,0.5585284280936454,0.37404580152671757,0.494949494949495,0.5716666666666667,0.5618729096989966,0.5590062111801242,0.6,0.5876510067114094,0.2717026204880825,-0.16312234434629727,0.4348249648343798,0.08311072717494594,0.7999750060564906,False
G5A3,17/7,(Novice) 2b Categorization,,OFC,129,299,5,0.5551839464882943,0.36923076923076925,0.48484848484848486,0.5294949494949495,0.5317725752508361,0.5297619047619048,0.5933333333333334,0.5331096196868009,0.2717026204880825,-0.16312234434629727,0.4348249648343798,0.08311072717494594,0.7999750060564906,False
G5A3,31/7/2025,(1b Expert) 1b Categorization,,ACx,289,112,5,0.6875,0.660377358490566,0.6730769230769231,0.7198717948717949,0.7767857142857143,0.7818181818181819,0.7678571428571429,0.8073979591836734,0.5337375229893079,-0.10673893745493723,0.6404764604442451,0.0056766182323425,1.2968236118726082,False
G5A3,31/7/2025,(1b Expert) 1b Categorization,,OFC,41,112,5,0.5,0.45652173913043476,0.40384615384615385,0.44038461538461543,0.4732142857142857,0.4594594594594595,0.30357142857142855,0.44802295918367346,0.5337375229893079,-0.10673893745493723,0.6404764604442451,0.0056766182323425,1.2968236118726082,False
G5A3,31/7/2025,(1b Expert) 2b Categorization,,ACx,316,181,5,0.7845303867403315,0.2727272727272727,0.375,0.7722929936305732,0.4696132596685083,0.4742268041237113,0.5054945054945055,0.4798534798534798,-0.2418214722658164,-0.04055909546357636,-0.20126237680224005,-0.981889005428497,0.45951227052869187,False
G5A3,31/7/2025,(1b Expert) 2b Categorization,,OFC,55,181,5,0.7182320441988951,0.22448979591836735,0.4583333333333333,0.5942144373673036,0.5966850828729282,0.6046511627906976,0.5714285714285714,0.6114774114774115,-0.2418214722658164,-0.04055909546357636,-0.20126237680224005,-0.981889005428497,0.45951227052869187,False
G6A5,30/9/2025,(1b Expert) 1b Categorization,,ACx,257,328,5,0.7591463414634146,0.3023255813953488,0.5777777777777777,0.7533961523360816,0.5,0.5,0.5548780487804879,0.5174375371802499,,,,,,False
G7A1,28/10/2025,(Novice) FRA,,ACx,20,350,5,0.5342857142857143,0.21897810218978103,0.3488372093023256,0.4231412966878083,0.48857142857142855,0.4885057471264368,0.4857142857142857,0.4777795918367347,-0.08045066279884489,-0.14403031647218792,0.06357965367334303,-0.2829663103264502,0.44211417102096856,False
G7A1,28/10/2025,(Novice) FRA,,OFC,260,350,5,0.5742857142857143,0.22123893805309736,0.29069767441860467,0.4456923890063425,0.52,0.5187165775401069,0.5542857142857143,0.5297142857142858,-0.08045066279884489,-0.14403031647218792,0.06357965367334303,-0.2829663103264502,0.44211417102096856,False
G7A1,12/11/2025,(1b Expert) 1b Categorization,,ACx,48,400,5,0.58,0.7933884297520661,0.6193548387096774,0.5705376344086022,0.4375,0.44339622641509435,0.46766169154228854,0.44473611840296007,0.010566402318678492,0.031438558951677006,-0.020872156632998514,-0.31197078883245133,0.3286607014318646,False
G7A1,12/11/2025,(1b Expert) 1b Categorization,,OFC,65,400,5,0.555,0.7704918032786885,0.6064516129032258,0.49745519713261654,0.5425,0.5428571428571428,0.5671641791044776,0.5472886822170554,0.010566402318678492,0.031438558951677006,-0.020872156632998514,-0.31197078883245133,0.3286607014318646,False
G7A1,12/11/2025,(1b Expert) 2b Categorization,,ACx,20,74,5,0.6216216216216216,0.09090909090909091,0.2,0.5171874999999999,0.5405405405405406,0.5625,0.47368421052631576,0.5416666666666667,0.9376404461931452,0.17557950766579325,0.762060938527352,-0.3765259164511995,1.7990812082179863,False
G7A1,12/11/2025,(1b Expert) 2b Categorization,,OFC,57,74,5,0.6081081081081081,0.0,0.0,0.29687500000000006,0.4189189189189189,0.42424242424242425,0.3684210526315789,0.43713450292397665,0.9376404461931452,0.17557950766579325,0.762060938527352,-0.3765259164511995,1.7990812082179863,False
G7A2,28/10/2025,(Novice) 2b Categorization,,ACx,783,350,5,0.66,0.5526315789473685,0.6222222222222222,0.6842032730404825,0.6371428571428571,0.6463414634146342,0.6057142857142858,0.7024326530612245,0.2755649863446908,-0.0892969476781063,0.3648619340227971,0.05545659584967205,0.711303851857005,False
G7A2,28/10/2025,(Novice) 2b Categorization,,OFC,47,350,5,0.4828571428571429,0.36627906976744184,0.4666666666666667,0.4532299741602067,0.48,0.48,0.48,0.4685061224489796,0.2755649863446908,-0.0892969476781063,0.3648619340227971,0.05545659584967205,0.711303851857005,False
G7A3,28/10/2025,(Novice) 2b Categorization,,OFC,332,350,5,0.74,0.7041420118343196,0.74375,0.8224671052631579,0.5171428571428571,0.5176470588235295,0.5028571428571429,0.5183020408163266,,,,,,False
