animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,condition,acx_pred,ofc_pred,n_condition,n_mouse_nogo,p_mouse_nogo,n_gt_nogo,p_gt_nogo,n_acx_go,p_acx_go
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,,,94.0,60.0,,0.5433526011560693,0.3468208092485549,,,"ACx=No-Go, OFC=Go",0.0,1.0,173.0,79.0,0.45664739884393063,113.0,0.653179190751445,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,,,29.0,16.0,,0.6744186046511628,0.37209302325581395,,,"ACx=No-Go, OFC=No-Go",0.0,0.0,43.0,14.0,0.32558139534883723,27.0,0.627906976744186,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,97.0,55.0,,0.8016528925619835,0.45454545454545453,,,"ACx=Go, OFC=Go",1.0,1.0,121.0,24.0,0.19834710743801653,66.0,0.5454545454545454,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,49.0,31.0,,0.7538461538461538,0.47692307692307695,,,"ACx=Go, OFC=No-Go",1.0,0.0,65.0,16.0,0.24615384615384617,34.0,0.5230769230769231,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,51.0,43.0,,0.6455696202531646,0.5443037974683544,,,"ACx=No-Go, OFC=Go",0.0,1.0,79.0,28.0,0.35443037974683544,36.0,0.45569620253164556,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,47.0,37.0,,0.6811594202898551,0.5362318840579711,,,"ACx=No-Go, OFC=No-Go",0.0,0.0,69.0,22.0,0.3188405797101449,32.0,0.463768115942029,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.7070000000000001,32.0,31.0,32.0,,0.96875,1.0,,False,,,,,,,,,12.0,0.375
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.769344846128565,32.0,30.0,32.0,,0.9375,1.0,,False,,,,,,,,,20.0,0.625
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.837187400657122,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,,,,16.0,0.5161290322580645
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.9110124638462896,31.0,28.0,31.0,,0.9032258064516129,1.0,,False,,,,,,,,,15.0,0.4838709677419355
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,62.0,54.0,0.0,,0.8709677419354839,0.0,,False,,,,,,,,,25.0,0.4032258064516129
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,63.0,53.0,0.0,,0.8412698412698413,0.0,,False,,,,,,,,,35.0,0.5555555555555556
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.27741160893374,63.0,43.0,0.0,,0.6825396825396826,0.0,,False,,,,,,,,,34.0,0.5396825396825397
