animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,agreement_state,n_trials,n_behavior_match,p_behavior_match,odds_behavior_match,n_acx_go,p_acx_go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,Models disagree,148.0,76.0,0.5135135135135135,1.0555555555555554,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,38.0,35.0,38.0,,0.9210526315789473,1.0,,False,,,,,,18.0,0.47368421052631576
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,38.0,35.0,38.0,,0.9210526315789473,1.0,,False,,,,,,22.0,0.5789473684210527
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,37.0,35.0,37.0,,0.9459459459459459,1.0,,False,,,,,,17.0,0.4594594594594595
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,37.0,33.0,37.0,,0.8918918918918919,1.0,,False,,,,,,20.0,0.5405405405405406
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,38.0,27.0,0.0,,0.7105263157894737,0.0,,False,,,,,,14.0,0.3684210526315789
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,38.0,14.0,0.0,,0.3684210526315789,0.0,,False,,,,,,18.0,0.47368421052631576
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,37.0,17.0,0.0,,0.4594594594594595,0.0,,False,,,,,,25.0,0.6756756756756757
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,37.0,16.0,0.0,,0.43243243243243246,0.0,,False,,,,,,20.0,0.5405405405405406
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,27.0,27.0,0.0,,1.0,0.0,,True,,,,,,11.0,0.4074074074074074
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,14.0,14.0,0.0,,1.0,0.0,,True,,,,,,7.0,0.5
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,17.0,17.0,0.0,,1.0,0.0,,True,,,,,,11.0,0.6470588235294118
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,16.0,16.0,0.0,,1.0,0.0,,True,,,,,,10.0,0.625
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,14.0,7.0,0.0,,0.5,0.0,,False,,,,,,5.0,0.35714285714285715
