animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,expression,n_condition,n_go,n_nogo,p_go,p_nogo
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | ACx=Go),161,74,87,0.45962732919254656,0.5403726708074534
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | OFC=No-Go),133,95,38,0.7142857142857143,0.2857142857142857
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | OFC=Go),167,121,46,0.7245508982035929,0.27544910179640714
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | OFC=No-Go),133,71,62,0.5338345864661654,0.46616541353383456
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | OFC=Go),167,79,88,0.47305389221556887,0.5269461077844311
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | ACx=No-Go),146,103,43,0.7054794520547946,0.29452054794520544
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | ACx=Go),154,109,45,0.7077922077922078,0.29220779220779225
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),146,73,73,0.5,0.5
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | ACx=Go),154,77,77,0.5,0.5
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,P(Mouse=Go | ACx=No-Go),54,12,42,0.2222222222222222,0.7777777777777778
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,P(Mouse=Go | ACx=Go),58,40,18,0.6896551724137931,0.31034482758620685
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,P(GroundTruth=Go | ACx=No-Go),54,11,43,0.2037037037037037,0.7962962962962963
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,P(GroundTruth=Go | ACx=Go),58,45,13,0.7758620689655172,0.22413793103448276
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | ACx=No-Go),102,19,83,0.18627450980392157,0.8137254901960784
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | ACx=Go),226,26,200,0.11504424778761062,0.8849557522123894
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),102,60,42,0.5882352941176471,0.4117647058823529
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | ACx=Go),226,104,122,0.46017699115044247,0.5398230088495575
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | ACx=No-Go),168,130,38,0.7738095238095238,0.22619047619047616
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | ACx=Go),232,180,52,0.7758620689655172,0.22413793103448276
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),168,77,91,0.4583333333333333,0.5416666666666667
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | ACx=Go),232,124,108,0.5344827586206896,0.4655172413793104
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | OFC=No-Go),165,128,37,0.7757575757575758,0.22424242424242424
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,P(Mouse=Go | OFC=Go),235,182,53,0.774468085106383,0.225531914893617
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | OFC=No-Go),165,77,88,0.4666666666666667,0.5333333333333333
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,P(GroundTruth=Go | OFC=Go),235,124,111,0.5276595744680851,0.4723404255319149
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=No-Go),87,26,61,0.2988505747126437,0.7011494252873562
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=Go),213,67,146,0.3145539906103286,0.6854460093896714
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),87,47,40,0.5402298850574713,0.45977011494252873
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=Go),213,103,110,0.4835680751173709,0.5164319248826291
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,P(Mouse=Go | ACx=No-Go),67,9,58,0.13432835820895522,0.8656716417910448
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,P(Mouse=Go | ACx=Go),114,15,99,0.13157894736842105,0.868421052631579
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,P(GroundTruth=Go | ACx=No-Go),67,39,28,0.582089552238806,0.417910447761194
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,P(GroundTruth=Go | ACx=Go),114,52,62,0.45614035087719296,0.543859649122807
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,P(Mouse=Go | OFC=No-Go),49,12,37,0.24489795918367346,0.7551020408163265
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,P(Mouse=Go | OFC=Go),132,12,120,0.09090909090909091,0.9090909090909091
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,P(GroundTruth=Go | OFC=No-Go),49,27,22,0.5510204081632653,0.44897959183673475
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,P(GroundTruth=Go | OFC=Go),132,64,68,0.48484848484848486,0.5151515151515151
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=No-Go),64,9,55,0.140625,0.859375
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=Go),237,141,96,0.5949367088607594,0.40506329113924056
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),64,22,42,0.34375,0.65625
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=Go),237,166,71,0.70042194092827,0.29957805907172996
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | OFC=Go),301,150,151,0.4983388704318937,0.5016611295681064
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | OFC=Go),301,188,113,0.6245847176079734,0.3754152823920266
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=No-Go),216,123,93,0.5694444444444444,0.4305555555555556
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=Go),284,201,83,0.7077464788732394,0.2922535211267606
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),216,76,140,0.35185185185185186,0.6481481481481481
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=Go),284,174,110,0.6126760563380281,0.38732394366197187
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | OFC=No-Go),96,69,27,0.71875,0.28125
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | OFC=Go),404,255,149,0.6311881188118812,0.3688118811881188
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | OFC=No-Go),96,51,45,0.53125,0.46875
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | OFC=Go),404,199,205,0.49257425742574257,0.5074257425742574
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=No-Go),148,98,50,0.6621621621621622,0.33783783783783783
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=Go),186,146,40,0.7849462365591398,0.21505376344086025
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),148,80,68,0.5405405405405406,0.45945945945945943
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=Go),186,86,100,0.46236559139784944,0.5376344086021505
