animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,n_behavior_match,area,p_behavior_match,odds_behavior_match,models_disagree_only,n_acx_go,p_acx_go
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,69,59.0,69.0,41.0,0.855072463768116,1.0,0.5942028985507246,False,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7709889669943373,69,60.0,69.0,40.0,0.8695652173913043,1.0,0.5797101449275363,False,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.8407694303069239,46,39.0,46.0,25.0,0.8478260869565217,1.0,0.5434782608695652,False,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.1890275311687524,69,14.0,0.0,28.0,0.2028985507246377,0.0,0.4057971014492754,False,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.2966437170914054,70,9.0,0.0,31.0,0.12857142857142856,0.0,0.44285714285714284,False,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.414,46,0.0,0.0,19.0,0.0,0.0,0.41304347826086957,False,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,10,0.0,10.0,7.0,0.0,1.0,0.7,True,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7709889669943373,9,0.0,9.0,5.0,0.0,1.0,0.5555555555555556,True,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.8407694303069239,7,0.0,7.0,3.0,0.0,1.0,0.42857142857142855,True,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.1890275311687524,14,14.0,0.0,6.0,1.0,0.0,0.42857142857142855,True,,,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.2966437170914054,9,9.0,0.0,6.0,1.0,0.0,0.6666666666666666,True,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,6,,,,,,,,2.0,ACx,0.3333333333333333,0.49999999999999994,True,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,7,,,,,,,,4.0,ACx,0.5714285714285714,1.3333333333333333,True,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,12,,,,,,,,5.0,ACx,0.4166666666666667,0.7142857142857144,True,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,6,,,,,,,,3.0,ACx,0.5,1.0,True,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,6,,,,,,,,4.0,ACx,0.6666666666666666,1.9999999999999998,True,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,6,,,,,,,,4.0,OFC,0.6666666666666666,1.9999999999999998,True,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,7,,,,,,,,3.0,OFC,0.42857142857142855,0.75,True,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,12,,,,,,,,7.0,OFC,0.5833333333333334,1.4000000000000001,True,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,6,,,,,,,,3.0,OFC,0.5,1.0,True,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,6,,,,,,,,2.0,OFC,0.3333333333333333,0.49999999999999994,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,19,,,,,,,,8.0,ACx,0.42105263157894735,0.7272727272727272,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,17,,,,,,,,5.0,ACx,0.29411764705882354,0.41666666666666674,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,18,,,,,,,,8.0,ACx,0.4444444444444444,0.7999999999999999,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,17,,,,,,,,13.0,ACx,0.7647058823529411,3.249999999999999,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,18,,,,,,,,8.0,ACx,0.4444444444444444,0.7999999999999999,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,23,,,,,,,,16.0,ACx,0.6956521739130435,2.2857142857142856,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,16,,,,,,,,7.0,ACx,0.4375,0.7777777777777778,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,20,,,,,,,,11.0,ACx,0.55,1.2222222222222225,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,19,,,,,,,,11.0,OFC,0.5789473684210527,1.3750000000000002,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,17,,,,,,,,12.0,OFC,0.7058823529411765,2.4000000000000004,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,18,,,,,,,,10.0,OFC,0.5555555555555556,1.2500000000000002,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,17,,,,,,,,4.0,OFC,0.23529411764705882,0.3076923076923077,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,18,,,,,,,,10.0,OFC,0.5555555555555556,1.2500000000000002,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,23,,,,,,,,7.0,OFC,0.30434782608695654,0.43750000000000006,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,16,,,,,,,,9.0,OFC,0.5625,1.2857142857142858,True,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,20,,,,,,,,9.0,OFC,0.45,0.8181818181818181,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,38,35.0,38.0,,0.9210526315789473,1.0,,False,,,,,,18.0,0.47368421052631576
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,38,35.0,38.0,,0.9210526315789473,1.0,,False,,,,,,22.0,0.5789473684210527
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,37,35.0,37.0,,0.9459459459459459,1.0,,False,,,,,,17.0,0.4594594594594595
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,37,33.0,37.0,,0.8918918918918919,1.0,,False,,,,,,20.0,0.5405405405405406
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,38,27.0,0.0,,0.7105263157894737,0.0,,False,,,,,,14.0,0.3684210526315789
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,38,14.0,0.0,,0.3684210526315789,0.0,,False,,,,,,18.0,0.47368421052631576
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,37,17.0,0.0,,0.4594594594594595,0.0,,False,,,,,,25.0,0.6756756756756757
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,37,16.0,0.0,,0.43243243243243246,0.0,,False,,,,,,20.0,0.5405405405405406
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,27,27.0,0.0,,1.0,0.0,,True,,,,,,11.0,0.4074074074074074
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,14,14.0,0.0,,1.0,0.0,,True,,,,,,7.0,0.5
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,17,17.0,0.0,,1.0,0.0,,True,,,,,,11.0,0.6470588235294118
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,16,16.0,0.0,,1.0,0.0,,True,,,,,,10.0,0.625
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,14,7.0,0.0,,0.5,0.0,,False,,,,,,5.0,0.35714285714285715
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,14,2.0,0.0,,0.14285714285714285,0.0,,False,,,,,,3.0,0.21428571428571427
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,14,4.0,0.0,,0.2857142857142857,0.0,,False,,,,,,3.0,0.21428571428571427
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,14,0.0,0.0,,0.0,0.0,,False,,,,,,2.0,0.14285714285714285
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,14,5.0,14.0,,0.35714285714285715,1.0,,False,,,,,,9.0,0.6428571428571429
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,14,11.0,14.0,,0.7857142857142857,1.0,,False,,,,,,12.0,0.8571428571428571
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.9491220452647464,14,12.0,14.0,,0.8571428571428571,1.0,,False,,,,,,11.0,0.7857142857142857
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,2.121,14,11.0,14.0,,0.7857142857142857,1.0,,False,,,,,,13.0,0.9285714285714286
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,7,7.0,0.0,,1.0,0.0,,True,,,,,,3.0,0.42857142857142855
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,9,0.0,9.0,,0.0,1.0,,True,,,,,,4.0,0.4444444444444444
