animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,condition,acx_pred,ofc_pred,n_condition,n_mouse_go,n_mouse_nogo,p_mouse_go,p_mouse_nogo,n_gt_go,n_gt_nogo,p_gt_go,p_gt_nogo,stimulus,trials,n_acx_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,8.0,,0.1509433962264151,,53.0,,1.0,,0.7890990840419705,53.0,35.0,0.660377358490566,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,6.0,,0.11538461538461539,,52.0,,1.0,,0.8807317743081708,52.0,35.0,0.6730769230769231,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,9.0,,0.16363636363636364,,0.0,,0.0,,1.2245599209511964,55.0,43.0,0.7818181818181819,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,2.0,,0.03636363636363636,,0.0,,0.0,,1.3667597057667562,55.0,37.0,0.6727272727272727,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,2.0,,0.037037037037037035,,0.0,,0.0,,1.5254721809420373,54.0,42.0,0.7777777777777778,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,0.0,,0.0,,39.0,,1.0,,0.7070000000000001,39.0,26.0,0.6666666666666666,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,0.0,,0.0,,45.0,,1.0,,0.7890990840419705,45.0,31.0,0.6888888888888889,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,0.0,,0.0,,46.0,,1.0,,0.8807317743081708,46.0,32.0,0.6956521739130435,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,9.0,,1.0,,0.0,,0.0,,1.2245599209511964,9.0,9.0,1.0,True,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,132.0,102.0,30.0,0.7727272727272727,0.22727272727272727,71.0,61.0,0.5378787878787878,0.4621212121212121,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,100.0,78.0,22.0,0.78,0.22,53.0,47.0,0.53,0.47,,,,,,,
