animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,condition,acx_pred,ofc_pred,n_condition,n_mouse_go,n_mouse_nogo,p_mouse_go,p_mouse_nogo,n_gt_go,n_gt_nogo,p_gt_go,p_gt_nogo,stimulus,trials,n_acx_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,5.0,,1.0,,1.64602248543222,5.0,,,True,3.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,5.0,,1.0,,1.7911724409886975,5.0,,,True,4.0,0.8
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,6.0,,1.0,,1.9491220452647464,6.0,,,True,3.0,0.5
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,8.0,,1.0,,2.121,8.0,,,True,5.0,0.625
G5A3,17/7,(Novice) 2b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,106.0,30.0,76.0,0.2830188679245283,0.7169811320754716,48.0,58.0,0.4528301886792453,0.5471698113207547,,,,,,,
G5A3,17/7,(Novice) 2b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,86.0,29.0,57.0,0.3372093023255814,0.6627906976744186,45.0,41.0,0.5232558139534884,0.47674418604651164,,,,,,,
G5A3,17/7,(Novice) 2b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,74.0,26.0,48.0,0.35135135135135137,0.6486486486486487,37.0,37.0,0.5,0.5,,,,,,,
G5A3,17/7,(Novice) 2b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,33.0,14.0,19.0,0.42424242424242425,0.5757575757575758,20.0,13.0,0.6060606060606061,0.3939393939393939,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,114.0,54.0,60.0,0.47368421052631576,0.5263157894736842,77.0,37.0,0.6754385964912281,0.32456140350877194,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,54.0,22.0,32.0,0.4074074074074074,0.5925925925925926,35.0,19.0,0.6481481481481481,0.35185185185185186,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,109.0,30.0,79.0,0.27522935779816515,0.7247706422018348,38.0,71.0,0.3486238532110092,0.6513761467889908,,,,,,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,73.0,29.0,44.0,0.3972602739726027,0.6027397260273972,25.0,48.0,0.3424657534246575,0.6575342465753424,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,14.0,,0.4666666666666667,,30.0,,1.0,,0.7070000000000001,30.0,,,False,15.0,0.5
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,13.0,,0.4482758620689655,,29.0,,1.0,,0.7890990840419705,29.0,,,False,18.0,0.6206896551724138
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,14.0,,0.4827586206896552,,29.0,,1.0,,0.8807317743081708,29.0,,,False,17.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,26.0,,0.4482758620689655,,0.0,,0.0,,1.2245599209511964,58.0,,,False,36.0,0.6206896551724138
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,28.0,,0.4745762711864407,,0.0,,0.0,,1.3667597057667562,59.0,,,False,31.0,0.5254237288135594
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,26.0,,0.4482758620689655,,0.0,,0.0,,1.5254721809420373,58.0,,,False,34.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,10.0,,0.3448275862068966,,29.0,,1.0,,1.7026148524934492,29.0,,,False,17.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,14.0,,0.4827586206896552,,29.0,,1.0,,1.9003278933222565,29.0,,,False,14.0,0.4827586206896552
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,15.0,,0.5172413793103449,,29.0,,1.0,,2.121,29.0,,,False,17.0,0.5862068965517241
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,16.0,,1.0,,0.7070000000000001,16.0,,,True,8.0,0.5
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,16.0,,1.0,,0.7890990840419705,16.0,,,True,10.0,0.625
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,15.0,,1.0,,0.8807317743081708,15.0,,,True,8.0,0.5333333333333333
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,26.0,,1.0,,0.0,,0.0,,1.2245599209511964,26.0,,,True,16.0,0.6153846153846154
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,28.0,,1.0,,0.0,,0.0,,1.3667597057667562,28.0,,,True,16.0,0.5714285714285714
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,26.0,,1.0,,0.0,,0.0,,1.5254721809420373,26.0,,,True,14.0,0.5384615384615384
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,19.0,,1.0,,1.7026148524934492,19.0,,,True,11.0,0.5789473684210527
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,15.0,,1.0,,1.9003278933222565,15.0,,,True,7.0,0.4666666666666667
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,,,,,0.0,,0.0,,14.0,,1.0,,2.121,14.0,,,True,9.0,0.6428571428571429
G7A1,28/10/2025,(Novice) FRA,,,False,"ACx=Go, OFC=Go",1.0,1.0,85.0,27.0,58.0,0.3176470588235294,0.6823529411764706,38.0,47.0,0.4470588235294118,0.5529411764705883,,,,,,,
G7A1,28/10/2025,(Novice) FRA,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,85.0,19.0,66.0,0.2235294117647059,0.7764705882352941,39.0,46.0,0.4588235294117647,0.5411764705882353,,,,,,,
G7A1,28/10/2025,(Novice) FRA,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,92.0,23.0,69.0,0.25,0.75,51.0,41.0,0.5543478260869565,0.44565217391304346,,,,,,,
G7A1,28/10/2025,(Novice) FRA,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,88.0,17.0,71.0,0.19318181818181818,0.8068181818181818,47.0,41.0,0.5340909090909091,0.4659090909090909,,,,,,,
