animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,agreement_state,n_trials,n_behavior_match,p_behavior_match,odds_behavior_match,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.7070000000000001,39.0,0.0,39.0,26.0,0.0,1.0,0.6666666666666666,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.7890990840419705,45.0,0.0,45.0,31.0,0.0,1.0,0.6888888888888889,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,0.8807317743081708,46.0,0.0,46.0,32.0,0.0,1.0,0.6956521739130435,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,,,,,,1.2245599209511964,9.0,9.0,0.0,9.0,1.0,0.0,1.0,True,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,All trials,400.0,218.0,0.545,1.197802197802198,,,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,Models agree (pooled),197.0,117.0,0.5939086294416244,1.4625000000000001,,,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,Both Go,132.0,102.0,0.7727272727272727,3.3999999999999995,,,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,Both No-Go,65.0,15.0,0.23076923076923078,0.30000000000000004,,,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,Models disagree,203.0,101.0,0.4975369458128079,0.9901960784313725,,,,,,,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.7070000000000001,19.0,7.0,19.0,13.0,0.3684210526315789,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.769344846128565,19.0,6.0,19.0,13.0,0.3157894736842105,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.837187400657122,19.0,10.0,19.0,13.0,0.5263157894736842,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.9110124638462896,19.0,7.0,19.0,15.0,0.3684210526315789,1.0,0.7894736842105263,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.07876684098121,37.0,9.0,0.0,28.0,0.24324324324324326,0.0,0.7567567567567568,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.1738949211927685,38.0,3.0,0.0,26.0,0.07894736842105263,0.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.27741160893374,38.0,5.0,0.0,27.0,0.13157894736842105,0.0,0.7105263157894737,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.390056630435602,37.0,0.0,0.0,29.0,0.0,0.0,0.7837837837837838,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.64602248543222,19.0,7.0,19.0,13.0,0.3684210526315789,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.7911724409886975,19.0,12.0,19.0,11.0,0.631578947368421,1.0,0.5789473684210527,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.9491220452647464,18.0,12.0,18.0,13.0,0.6666666666666666,1.0,0.7222222222222222,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,2.121,18.0,15.0,18.0,12.0,0.8333333333333334,1.0,0.6666666666666666,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.7070000000000001,12.0,0.0,12.0,7.0,0.0,1.0,0.5833333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.769344846128565,13.0,0.0,13.0,7.0,0.0,1.0,0.5384615384615384,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.837187400657122,9.0,0.0,9.0,6.0,0.0,1.0,0.6666666666666666,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,0.9110124638462896,12.0,0.0,12.0,10.0,0.0,1.0,0.8333333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.07876684098121,9.0,9.0,0.0,7.0,1.0,0.0,0.7777777777777778,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.27741160893374,5.0,5.0,0.0,2.0,1.0,0.0,0.4,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.64602248543222,12.0,0.0,12.0,7.0,0.0,1.0,0.5833333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.7911724409886975,7.0,0.0,7.0,4.0,0.0,1.0,0.5714285714285714,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,1.9491220452647464,6.0,0.0,6.0,4.0,0.0,1.0,0.6666666666666666,True,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,All trials,181.0,71.0,0.39226519337016574,0.6454545454545455,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,Models agree (pooled),101.0,33.0,0.32673267326732675,0.4852941176470589,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,Both Go,80.0,14.0,0.175,0.21212121212121213,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,Both No-Go,21.0,19.0,0.9047619047619048,9.5,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,Models disagree,80.0,38.0,0.475,0.9047619047619047,,,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,All trials,301.0,196.0,0.6511627906976745,1.8666666666666671,,,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,Models agree (pooled),237.0,141.0,0.5949367088607594,1.4687499999999998,,,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,Both Go,237.0,141.0,0.5949367088607594,1.4687499999999998,,,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,Models disagree,64.0,55.0,0.859375,6.111111111111111,,,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,All trials,500.0,294.0,0.588,1.4271844660194173,,,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,Models agree (pooled),274.0,175.0,0.6386861313868614,1.7676767676767682,,,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,Both Go,231.0,161.0,0.696969696969697,2.3000000000000007,,,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,Both No-Go,43.0,14.0,0.32558139534883723,0.48275862068965525,,,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,Models disagree,226.0,119.0,0.5265486725663717,1.1121495327102806,,,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,All trials,334.0,196.0,0.5868263473053892,1.4202898550724636,,,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,Models agree (pooled),190.0,119.0,0.6263157894736842,1.6760563380281686,,,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,Both Go,121.0,97.0,0.8016528925619835,4.041666666666667,,,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,Both No-Go,69.0,22.0,0.3188405797101449,0.4680851063829787,,,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,Models disagree,144.0,77.0,0.5347222222222222,1.1492537313432836,,,,,,,,,,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.7070000000000001,32.0,31.0,32.0,12.0,0.96875,1.0,0.375,False,,
