animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_behavior_match,area,p_behavior_match,odds_behavior_match,models_disagree_only,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,38,,,,,,14.0,0.0,18.0,0.3684210526315789,0.0,0.47368421052631576,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,37,,,,,,17.0,0.0,25.0,0.4594594594594595,0.0,0.6756756756756757,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,37,,,,,,16.0,0.0,20.0,0.43243243243243246,0.0,0.5405405405405406,False,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,27,,,,,,27.0,0.0,11.0,1.0,0.0,0.4074074074074074,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,14,,,,,,14.0,0.0,7.0,1.0,0.0,0.5,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,17,,,,,,17.0,0.0,11.0,1.0,0.0,0.6470588235294118,True,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,16,,,,,,16.0,0.0,10.0,1.0,0.0,0.625,True,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,6,2.0,ACx,0.3333333333333333,0.49999999999999994,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,5,3.0,ACx,0.6,1.4999999999999998,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,6,3.0,ACx,0.5,1.0,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,9,7.0,ACx,0.7777777777777778,3.5000000000000004,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,6,4.0,ACx,0.6666666666666666,1.9999999999999998,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,8,6.0,ACx,0.75,3.0,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.9491220452647464,5,5.0,ACx,1.0,,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,2.121,9,9.0,ACx,1.0,,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,6,4.0,OFC,0.6666666666666666,1.9999999999999998,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,5,2.0,OFC,0.4,0.6666666666666667,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,6,3.0,OFC,0.5,1.0,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,9,2.0,OFC,0.2222222222222222,0.2857142857142857,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,6,2.0,OFC,0.3333333333333333,0.49999999999999994,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,8,2.0,OFC,0.25,0.3333333333333333,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.9491220452647464,5,0.0,OFC,0.0,,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,2.121,9,0.0,OFC,0.0,,True,,,,,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,53,,,,,,14.0,53.0,32.0,0.2641509433962264,1.0,0.6037735849056604,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,0.7890990840419705,53,,,,,,8.0,53.0,35.0,0.1509433962264151,1.0,0.660377358490566,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,0.8807317743081708,52,,,,,,6.0,52.0,35.0,0.11538461538461539,1.0,0.6730769230769231,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,1.2245599209511964,55,,,,,,9.0,0.0,43.0,0.16363636363636364,0.0,0.7818181818181819,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,1.3667597057667562,55,,,,,,2.0,0.0,37.0,0.03636363636363636,0.0,0.6727272727272727,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,1.5254721809420373,54,,,,,,2.0,0.0,42.0,0.037037037037037035,0.0,0.7777777777777778,False,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,39,,,,,,0.0,39.0,26.0,0.0,1.0,0.6666666666666666,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,0.7890990840419705,45,,,,,,0.0,45.0,31.0,0.0,1.0,0.6888888888888889,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,0.8807317743081708,46,,,,,,0.0,46.0,32.0,0.0,1.0,0.6956521739130435,True,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,False,1.2245599209511964,9,,,,,,9.0,0.0,9.0,1.0,0.0,1.0,True,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,34,13.0,ACx,0.38235294117647056,0.619047619047619,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,0.7890990840419705,38,22.0,ACx,0.5789473684210527,1.3750000000000002,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,0.8807317743081708,34,20.0,ACx,0.5882352941176471,1.4285714285714286,True,,,,,,,,,
