animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,condition,ofc_pred,n_condition,n_mouse_go,n_mouse_nogo,p_mouse_go,p_mouse_nogo,n_gt_go,n_gt_nogo,p_gt_go,p_gt_nogo,stimulus,trials,n_acx_go,n_ofc_go,p_acx_go,p_ofc_go,error_trials_only,n_behavior_match,p_behavior_match,odds_behavior_match,models_agree_only,agreement_state,acx_pred
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.9110124638462896,20.0,,,,,,18.0,0.9,9.000000000000002,True,Both Go,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.9110124638462896,4.0,,,,,,3.0,0.75,3.0,True,Both No-Go,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.07876684098121,17.0,,,,,,5.0,0.29411764705882354,0.41666666666666674,True,Both Go,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.07876684098121,2.0,,,,,,2.0,1.0,,True,Both No-Go,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.1738949211927685,13.0,,,,,,8.0,0.6153846153846154,1.6000000000000003,True,Both Go,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.1738949211927685,3.0,,,,,,1.0,0.3333333333333333,0.49999999999999994,True,Both No-Go,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.27741160893374,6.0,,,,,,3.0,0.5,1.0,True,Both Go,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.27741160893374,2.0,,,,,,0.0,0.0,,True,Both No-Go,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.390056630435602,8.0,,,,,,6.0,0.75,3.0,True,Both Go,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.390056630435602,1.0,,,,,,0.0,0.0,,True,Both No-Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,31.0,,0.8157894736842105,,38.0,,1.0,,0.7070000000000001,38.0,18.0,23.0,0.47368421052631576,0.6052631578947368,False,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,31.0,,0.8157894736842105,,38.0,,1.0,,0.769344846128565,38.0,14.0,19.0,0.3684210526315789,0.5,False,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,32.0,,0.8648648648648649,,37.0,,1.0,,0.837187400657122,37.0,20.0,18.0,0.5405405405405406,0.4864864864864865,False,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,31.0,,0.8378378378378378,,37.0,,1.0,,0.9110124638462896,37.0,22.0,19.0,0.5945945945945946,0.5135135135135135,False,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,27.0,,0.7105263157894737,,0.0,,0.0,,1.07876684098121,38.0,19.0,25.0,0.5,0.6578947368421053,False,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,21.0,,0.5526315789473685,,0.0,,0.0,,1.1738949211927685,38.0,25.0,20.0,0.6578947368421053,0.5263157894736842,False,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,25.0,,0.6756756756756757,,0.0,,0.0,,1.27741160893374,37.0,20.0,22.0,0.5405405405405406,0.5945945945945946,False,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,18.0,,0.4864864864864865,,0.0,,0.0,,1.390056630435602,37.0,23.0,21.0,0.6216216216216216,0.5675675675675675,False,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,0.0,,0.0,,7.0,,1.0,,0.7070000000000001,7.0,3.0,4.0,0.42857142857142855,0.5714285714285714,True,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,0.0,,0.0,,7.0,,1.0,,0.769344846128565,7.0,3.0,2.0,0.42857142857142855,0.2857142857142857,True,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,0.0,,0.0,,5.0,,1.0,,0.837187400657122,5.0,2.0,0.0,0.4,0.0,True,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,0.0,,0.0,,6.0,,1.0,,0.9110124638462896,6.0,1.0,4.0,0.16666666666666666,0.6666666666666666,True,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,27.0,,1.0,,0.0,,0.0,,1.07876684098121,27.0,14.0,18.0,0.5185185185185185,0.6666666666666666,True,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,21.0,,1.0,,0.0,,0.0,,1.1738949211927685,21.0,17.0,10.0,0.8095238095238095,0.47619047619047616,True,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,25.0,,1.0,,0.0,,0.0,,1.27741160893374,25.0,13.0,15.0,0.52,0.6,True,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,18.0,,1.0,,0.0,,0.0,,1.390056630435602,18.0,11.0,9.0,0.6111111111111112,0.5,True,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.7070000000000001,19.0,,,,,,11.0,0.5789473684210527,1.3750000000000002,True,Models agree (pooled),
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.769344846128565,21.0,,,,,,10.0,0.47619047619047616,0.909090909090909,True,Models agree (pooled),
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.837187400657122,19.0,,,,,,13.0,0.6842105263157895,2.166666666666667,True,Models agree (pooled),
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.9110124638462896,20.0,,,,,,13.0,0.65,1.8571428571428574,True,Models agree (pooled),
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.07876684098121,20.0,,,,,,12.0,0.6,1.4999999999999998,True,Models agree (pooled),
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.1738949211927685,15.0,,,,,,10.0,0.6666666666666666,1.9999999999999998,True,Models agree (pooled),
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.27741160893374,21.0,,,,,,11.0,0.5238095238095238,1.1,True,Models agree (pooled),
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.390056630435602,17.0,,,,,,7.0,0.4117647058823529,0.7,True,Models agree (pooled),
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.7070000000000001,4.0,,,,,,2.0,0.5,1.0,True,Both Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.7070000000000001,4.0,,,,,,3.0,0.75,3.0,True,Both No-Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.769344846128565,6.0,,,,,,1.0,0.16666666666666666,0.19999999999999998,True,Both Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.769344846128565,2.0,,,,,,2.0,1.0,,True,Both No-Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.837187400657122,6.0,,,,,,3.0,0.5,1.0,True,Both Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.837187400657122,1.0,,,,,,0.0,0.0,,True,Both No-Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.9110124638462896,6.0,,,,,,3.0,0.5,1.0,True,Both Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.9110124638462896,4.0,,,,,,2.0,0.5,1.0,True,Both No-Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.07876684098121,7.0,,,,,,6.0,0.8571428571428571,5.999999999999997,True,Both Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.07876684098121,5.0,,,,,,2.0,0.4,0.6666666666666667,True,Both No-Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.1738949211927685,4.0,,,,,,3.0,0.75,3.0,True,Both Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.1738949211927685,3.0,,,,,,2.0,0.6666666666666666,1.9999999999999998,True,Both No-Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.27741160893374,5.0,,,,,,2.0,0.4,0.6666666666666667,True,Both Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.27741160893374,4.0,,,,,,3.0,0.75,3.0,True,Both No-Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.390056630435602,4.0,,,,,,2.0,0.5,1.0,True,Both Go,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.390056630435602,2.0,,,,,,1.0,0.5,1.0,True,Both No-Go,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,ACx=Go,,154.0,109.0,45.0,0.7077922077922078,0.2922077922077922,77.0,77.0,0.5,0.5,,,,,,,,,,,,,1.0
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,ACx=No-Go,,146.0,103.0,43.0,0.7054794520547946,0.2945205479452055,73.0,73.0,0.5,0.5,,,,,,,,,,,,,0.0
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,ACx=Go,,58.0,40.0,18.0,0.6896551724137931,0.3103448275862069,45.0,13.0,0.7758620689655172,0.22413793103448276,,,,,,,,,,,,,1.0
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,ACx=No-Go,,54.0,12.0,42.0,0.2222222222222222,0.7777777777777778,11.0,43.0,0.2037037037037037,0.7962962962962963,,,,,,,,,,,,,0.0
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,ACx=Go,,226.0,26.0,200.0,0.11504424778761062,0.8849557522123894,104.0,122.0,0.46017699115044247,0.5398230088495575,,,,,,,,,,,,,1.0
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,ACx=No-Go,,102.0,19.0,83.0,0.18627450980392157,0.8137254901960784,60.0,42.0,0.5882352941176471,0.4117647058823529,,,,,,,,,,,,,0.0
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,64.0,,0.927536231884058,,69.0,,1.0,,0.7070000000000001,69.0,36.0,44.0,0.5217391304347826,0.6376811594202898,False,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,63.0,,0.9545454545454546,,66.0,,1.0,,0.7890990840419705,66.0,45.0,37.0,0.6818181818181818,0.5606060606060606,False,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,61.0,,0.9242424242424242,,66.0,,1.0,,0.8807317743081708,66.0,43.0,43.0,0.6515151515151515,0.6515151515151515,False,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,58.0,,0.8787878787878788,,0.0,,0.0,,1.0971548207581594,66.0,33.0,33.0,0.5,0.5,False,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,38.0,,0.5757575757575758,,0.0,,0.0,,1.2245599209511964,66.0,37.0,37.0,0.5606060606060606,0.5606060606060606,False,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,26.0,,0.3880597014925373,,0.0,,0.0,,1.3667597057667562,67.0,38.0,41.0,0.5671641791044776,0.6119402985074627,False,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,0.0,,0.0,,5.0,,1.0,,0.7070000000000001,5.0,3.0,3.0,0.6,0.6,True,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,0.0,,0.0,,5.0,,1.0,,0.8807317743081708,5.0,2.0,5.0,0.4,1.0,True,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,58.0,,1.0,,0.0,,0.0,,1.0971548207581594,58.0,29.0,27.0,0.5,0.46551724137931033,True,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,38.0,,1.0,,0.0,,0.0,,1.2245599209511964,38.0,21.0,24.0,0.5526315789473685,0.631578947368421,True,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,26.0,,1.0,,0.0,,0.0,,1.3667597057667562,26.0,13.0,16.0,0.5,0.6153846153846154,True,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.7070000000000001,35.0,,,,,,22.0,0.6285714285714286,1.6923076923076923,True,Models agree (pooled),
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.7890990840419705,28.0,,,,,,22.0,0.7857142857142857,3.6666666666666665,True,Models agree (pooled),
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.8807317743081708,32.0,,,,,,24.0,0.75,3.0,True,Models agree (pooled),
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.0971548207581594,36.0,,,,,,16.0,0.4444444444444444,0.7999999999999999,True,Models agree (pooled),
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.2245599209511964,32.0,,,,,,19.0,0.59375,1.4615384615384615,True,Models agree (pooled),
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.3667597057667562,34.0,,,,,,14.0,0.4117647058823529,0.7,True,Models agree (pooled),
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.7070000000000001,14.0,,,,,,8.0,0.5714285714285714,1.3333333333333333,True,Both Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.7070000000000001,3.0,,,,,,2.0,0.6666666666666666,1.9999999999999998,True,Both No-Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.7890990840419705,7.0,,,,,,7.0,1.0,,True,Both Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.7890990840419705,5.0,,,,,,4.0,0.8,4.000000000000001,True,Both No-Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.8807317743081708,13.0,,,,,,12.0,0.9230769230769231,12.000000000000009,True,Both Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,0.8807317743081708,3.0,,,,,,3.0,1.0,,True,Both No-Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.0971548207581594,11.0,,,,,,7.0,0.6363636363636364,1.75,True,Both Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.0971548207581594,8.0,,,,,,4.0,0.5,1.0,True,Both No-Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.2245599209511964,12.0,,,,,,6.0,0.5,1.0,True,Both Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.2245599209511964,4.0,,,,,,3.0,0.75,3.0,True,Both No-Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.3667597057667562,6.0,,,,,,2.0,0.3333333333333333,0.49999999999999994,True,Both Go,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,,,1.3667597057667562,9.0,,,,,,5.0,0.5555555555555556,1.2500000000000002,True,Both No-Go,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,ACx=Go,,213.0,67.0,146.0,0.3145539906103286,0.6854460093896714,103.0,110.0,0.4835680751173709,0.5164319248826291,,,,,,,,,,,,,1.0
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,ACx=No-Go,,87.0,26.0,61.0,0.2988505747126437,0.7011494252873564,47.0,40.0,0.5402298850574713,0.45977011494252873,,,,,,,,,,,,,0.0
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,1.0,,0.09090909090909091,,11.0,,1.0,,0.7070000000000001,11.0,7.0,9.0,0.6363636363636364,0.8181818181818182,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,1.0,,0.09090909090909091,,11.0,,1.0,,0.769344846128565,11.0,4.0,6.0,0.36363636363636365,0.5454545454545454,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,2.0,,0.18181818181818182,,11.0,,1.0,,0.837187400657122,11.0,5.0,8.0,0.45454545454545453,0.7272727272727273,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,2.0,,0.16666666666666666,,12.0,,1.0,,0.9110124638462896,12.0,6.0,9.0,0.5,0.75,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,2.0,,0.08695652173913043,,0.0,,0.0,,1.07876684098121,23.0,15.0,16.0,0.6521739130434783,0.6956521739130435,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,1.0,,0.045454545454545456,,0.0,,0.0,,1.1738949211927685,22.0,14.0,18.0,0.6363636363636364,0.8181818181818182,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,1.0,,0.043478260869565216,,0.0,,0.0,,1.27741160893374,23.0,15.0,18.0,0.6521739130434783,0.782608695652174,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,1.0,,0.045454545454545456,,0.0,,0.0,,1.390056630435602,22.0,18.0,16.0,0.8181818181818182,0.7272727272727273,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,1.0,,0.08333333333333333,,12.0,,1.0,,1.64602248543222,12.0,7.0,9.0,0.5833333333333334,0.75,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,4.0,,0.36363636363636365,,11.0,,1.0,,1.7911724409886975,11.0,8.0,9.0,0.7272727272727273,0.8181818181818182,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,3.0,,0.25,,12.0,,1.0,,1.9491220452647464,12.0,7.0,7.0,0.5833333333333334,0.5833333333333334,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,5.0,,0.45454545454545453,,11.0,,1.0,,2.121,11.0,8.0,7.0,0.7272727272727273,0.6363636363636364,False,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,0.0,,0.0,,10.0,,1.0,,0.7070000000000001,10.0,6.0,9.0,0.6,0.9,True,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,0.0,,0.0,,10.0,,1.0,,0.769344846128565,10.0,4.0,6.0,0.4,0.6,True,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,0.0,,0.0,,9.0,,1.0,,0.837187400657122,9.0,4.0,6.0,0.4444444444444444,0.6666666666666666,True,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,0.0,,0.0,,10.0,,1.0,,0.9110124638462896,10.0,4.0,8.0,0.4,0.8,True,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,0.0,,0.0,,11.0,,1.0,,1.64602248543222,11.0,7.0,8.0,0.6363636363636364,0.7272727272727273,True,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,0.0,,0.0,,7.0,,1.0,,1.7911724409886975,7.0,4.0,6.0,0.5714285714285714,0.8571428571428571,True,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,0.0,,0.0,,9.0,,1.0,,1.9491220452647464,9.0,5.0,7.0,0.5555555555555556,0.7777777777777778,True,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,0.0,,0.0,,6.0,,1.0,,2.121,6.0,5.0,5.0,0.8333333333333334,0.8333333333333334,True,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,0.7070000000000001,7.0,,,,,,1.0,0.14285714285714285,0.16666666666666666,True,Models agree (pooled),
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,0.769344846128565,7.0,,,,,,3.0,0.42857142857142855,0.75,True,Models agree (pooled),
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,0.837187400657122,6.0,,,,,,3.0,0.5,1.0,True,Models agree (pooled),
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,0.9110124638462896,7.0,,,,,,3.0,0.42857142857142855,0.75,True,Models agree (pooled),
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,1.07876684098121,10.0,,,,,,1.0,0.1,0.11111111111111112,True,Models agree (pooled),
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,1.1738949211927685,14.0,,,,,,2.0,0.14285714285714285,0.16666666666666666,True,Models agree (pooled),
