animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,var_agree_acx_ofc,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,400.0,0.002192982456140596,0.545,-0.0013831258644536356,0.5475,-0.04423868312757206,0.4925,0.07425940752602085,0.5375,0.059176779682222035,0.53,0.32313863123589864,0.6625,0.24994375000000002,-0.03325209708188424,0.058384129301218564,,,,,,,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.7070000000000001,19.0,7.0,19.0,13.0,0.3684210526315789,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.769344846128565,19.0,6.0,19.0,13.0,0.3157894736842105,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.837187400657122,19.0,10.0,19.0,13.0,0.5263157894736842,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.9110124638462896,19.0,7.0,19.0,15.0,0.3684210526315789,1.0,0.7894736842105263,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.07876684098121,37.0,9.0,0.0,28.0,0.24324324324324326,0.0,0.7567567567567568,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.1738949211927685,38.0,3.0,0.0,26.0,0.07894736842105263,0.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.27741160893374,38.0,5.0,0.0,27.0,0.13157894736842105,0.0,0.7105263157894737,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.390056630435602,37.0,0.0,0.0,29.0,0.0,0.0,0.7837837837837838,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.64602248543222,19.0,7.0,19.0,13.0,0.3684210526315789,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.7911724409886975,19.0,12.0,19.0,11.0,0.631578947368421,1.0,0.5789473684210527,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.9491220452647464,18.0,12.0,18.0,13.0,0.6666666666666666,1.0,0.7222222222222222,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,2.121,18.0,15.0,18.0,12.0,0.8333333333333334,1.0,0.6666666666666666,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.7070000000000001,12.0,0.0,12.0,7.0,0.0,1.0,0.5833333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.769344846128565,13.0,0.0,13.0,7.0,0.0,1.0,0.5384615384615384,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.837187400657122,9.0,0.0,9.0,6.0,0.0,1.0,0.6666666666666666,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.9110124638462896,12.0,0.0,12.0,10.0,0.0,1.0,0.8333333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.07876684098121,9.0,9.0,0.0,7.0,1.0,0.0,0.7777777777777778,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.27741160893374,5.0,5.0,0.0,2.0,1.0,0.0,0.4,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.64602248543222,12.0,0.0,12.0,7.0,0.0,1.0,0.5833333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.7911724409886975,7.0,0.0,7.0,4.0,0.0,1.0,0.5714285714285714,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.9491220452647464,6.0,0.0,6.0,4.0,0.0,1.0,0.6666666666666666,True,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,181.0,0.04444231138414284,0.39226519337016574,0.029637871737811024,0.4143646408839779,0.013086150490730739,0.5580110497237569,-0.07401969780387847,0.46408839779005523,-0.07349434423723628,0.46408839779005523,0.1526114184957744,0.574585635359116,0.2466347181099478,-0.09107201042684913,-0.04458948814840251,,,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,301.0,0.3036552316742681,0.6511627906976745,0.0,0.4983388704318937,0.0,0.7873754152823921,0.27877257619869616,0.6910299003322259,0.0,0.6245847176079734,0.46887820371432365,0.7342192691029901,0.16741537069127269,0.023255813953488892,0.15355273415747858,,,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,500.0,0.14143771672445973,0.588,-0.06645272385723251,0.564,0.01334171556300668,0.548,0.256,0.628,-0.02400000000000002,0.488,0.472,0.736,0.247696,0.012870148383334359,0.12385811655263938,,,,,,,,,,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,False,334.0,0.1279043366381594,0.5868263473053892,0.024932933564778204,0.5568862275449101,0.11789303792825191,0.5688622754491018,-0.07711050594811512,0.46107784431137727,-0.016760977007377574,0.49101796407185627,0.45061860831009093,0.7245508982035929,0.24525798701997203,0.0807731694828469,0.0965692660835038,,,,,,,,,,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.7070000000000001,32.0,31.0,32.0,12.0,0.96875,1.0,0.375,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.769344846128565,32.0,30.0,32.0,20.0,0.9375,1.0,0.625,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,,,,,,,,,,,,0.837187400657122,31.0,29.0,31.0,16.0,0.9354838709677419,1.0,0.5161290322580645,False,,
