animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,n_ofc_go,p_mouse_go,p_gt_go,p_acx_go,p_ofc_go,error_trials_only,n_behavior_match,p_behavior_match,odds_behavior_match,models_agree_only,agreement_state,condition,acx_pred,n_condition,n_mouse_nogo,p_mouse_nogo,n_gt_nogo,p_gt_nogo,ofc_pred
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,10.0,,,,,,,,,,5.0,0.5,1.0,True,Models agree (pooled),,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,10.0,,,,,,,,,,7.0,0.7,2.333333333333333,True,Models agree (pooled),,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,30.0,,,,,,,,,,26.0,0.8666666666666667,6.500000000000002,True,Both Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,6.0,,,,,,,,,,5.0,0.8333333333333334,5.000000000000002,True,Both No-Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,25.0,,,,,,,,,,22.0,0.88,7.333333333333334,True,Both Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,8.0,,,,,,,,,,6.0,0.75,3.0,True,Both No-Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,21.0,,,,,,,,,,14.0,0.6666666666666666,1.9999999999999998,True,Both Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,4.0,,,,,,,,,,2.0,0.5,1.0,True,Both No-Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,20.0,,,,,,,,,,18.0,0.9,9.000000000000002,True,Both Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,4.0,,,,,,,,,,3.0,0.75,3.0,True,Both No-Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,17.0,,,,,,,,,,5.0,0.29411764705882354,0.41666666666666674,True,Both Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,2.0,,,,,,,,,,2.0,1.0,,True,Both No-Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,13.0,,,,,,,,,,8.0,0.6153846153846154,1.6000000000000003,True,Both Go,,,,,,,,
