animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,n_ofc_go,p_mouse_go,p_gt_go,p_acx_go,p_ofc_go,error_trials_only,n_behavior_match,p_behavior_match,odds_behavior_match,models_agree_only,agreement_state
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,69,59.0,69.0,43.0,63.0,0.855072463768116,1.0,0.6231884057971014,0.9130434782608695,False,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7709889669943373,69,60.0,69.0,39.0,56.0,0.8695652173913043,1.0,0.5652173913043478,0.8115942028985508,False,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.8407694303069239,46,39.0,46.0,31.0,34.0,0.8478260869565217,1.0,0.6739130434782609,0.7391304347826086,False,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.1890275311687524,69,14.0,0.0,33.0,20.0,0.2028985507246377,0.0,0.4782608695652174,0.2898550724637681,False,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.2966437170914054,70,9.0,0.0,32.0,16.0,0.12857142857142856,0.0,0.45714285714285713,0.22857142857142856,False,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.414,46,0.0,0.0,24.0,14.0,0.0,0.0,0.5217391304347826,0.30434782608695654,False,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,10,0.0,10.0,9.0,8.0,0.0,1.0,0.9,0.8,True,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.7709889669943373,9,0.0,9.0,5.0,6.0,0.0,1.0,0.5555555555555556,0.6666666666666666,True,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,0.8407694303069239,7,0.0,7.0,5.0,3.0,0.0,1.0,0.7142857142857143,0.42857142857142855,True,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.1890275311687524,14,14.0,0.0,6.0,6.0,1.0,0.0,0.42857142857142855,0.42857142857142855,True,,,,,
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,False,1.2966437170914054,9,9.0,0.0,6.0,5.0,1.0,0.0,0.6666666666666666,0.5555555555555556,True,,,,,
