Checkbox,Animal,Date,Coordinates Craniotomy / Area,Depth craniotomy ,Angle,spike glx file,Recording Assessment ,Session Type,behavioral file,DI,Performance Evaluation during recording ,age ,Acx good units,OFC good units,sex,borders_table,Notes,current_dir
FALSE,G4A5,7/4/2025,vlOFC (imec1) / Acx (imec0),3800/3500,76/90,G4A5_2b_4t_novice2_g0,Noisy,(1b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G4A5\2025-04-07\20-24-00_1\behavior\A5_GNG_20250407_132137.mat,Yellow,Bad,P85,"good: 0, MUA: 12, non-somatic: 11","good: 0, MUA: 35, non-somatic: 24",male,,the mice was passive,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A5_2b_4t_novice2_g0
FALSE,G4A6,7/4/2025,vlOFC (imec1),3800,76,G4A6_2b_4t_novice2_g0,Noisy,(1b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G4A6\2025-04-07\20-24-00\behavior\A6_GNG_20250407_150832.mat,Yellow,Good,P85,"good: 0, MUA: 62, non-somatic: 23","good: 0, MUA: 3, non-somatic: 1",male,,Couldent insert the Acx probe,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A6_2b_4t_novice2_g0
FALSE,G5A3,31/7/2025,vlOFC (imec1) / Acx (imec0),3628/3100,77/90,G5A3_2b_4t_new2_g0,Medium,(1b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G5A3\2025-07-31\14-18-00_1\ephys\catgt_G5A3_2b_4t_new2_g0\G5A3_GNG_20250731_141840.mat,Red,Good,?,"good: 253, MUA: 63, non-somatic: 26","good: 53, MUA: 2, non-somatic: 9",male,,,Z:\Shared\Amichai\Data\G5A3\2025-07-31\14-18-00_1\ephys\catgt_G5A3_2b_4t_new2_g0
FALSE,G7A1,12/11/2025,vlOFC (imec1) ,3400/0,75/0,G7A1_1BExpert _2B_3T_g0,Good,(1b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G7A1\2025-11-12\10-15-00\ephys\catgt_G7A1_1BExpert _2B_3T_g0\G7A1_GNG_20251112_101531.mat,Red,Passive,P73,"good: 4, MUA: 43, non-somatic: 15","good: 15, MUA: 54, non-somatic: 13",male,,,Z:\Shared\Amichai\Data\G7A1\2025-11-12\10-15-00\ephys\catgt_G7A1_1BExpert _2B_3T_g0
FALSE,G5A3,31/7/2025,vlOFC (imec1) / Acx (imec0),3628/3100,77/90,G5A3_1b_FRA_g0,Medium,(1b Expert) FRA ,Z:\Shared\Amichai\Data\G5A3\2025-07-31\14-39-00_1\behavior\G5A3_FRA_20250731_144031.mat,Red,Good,?,"good: 261, MUA: 59, non-somatic: 29","good: 15, MUA: 33, non-somatic: 14",male,,,Z:\Shared\Amichai\Data\G5A3\2025-07-31\14-39-00_1\ephys\catgt_G5A3_1b_FRA_g0
FALSE,G7A1,12/11/2025,vlOFC (imec1) ,3400/0,75/0,G7A1_1BExpert _FRA_g0,Good,(1b Expert) FRA ,Z:\Shared\Amichai\Data\G7A1\2025-11-12\10-24-00\ephys\catgt_G7A1_1BExpert _FRA_g0\G7A1_FRA_20251112_102435.mat,Red,Passive,P73,"good: 0, MUA: 20, non-somatic: 8","good: 6, MUA: 51, non-somatic: 15",male,,,Z:\Shared\Amichai\Data\G7A1\2025-11-12\10-24-00\ephys\catgt_G7A1_1BExpert _FRA_g0
FALSE,G3A3,20/2/2025,vlOFC,3700,78,G3A3_rec3_g0,Noisy,(2b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G3A3\2025-02-20\13-04-30\behavior\G3A3_GNG_20250220_130438.mat,Blue,Good,P67,"good: 2, MUA: 50, non-somatic: 43","good: 0, MUA: 18, non-somatic: 28",male,,not a singel unit after phy - try and see if there is a way to save this rec,Z:\Shared\Amichai\Data\pipeline_output\catgt_G3A3_rec3_g0
FALSE,G3A5,20/2/2026,vlOFC / Acx,3700/3300,78/90,G3A5_rec2_g0,Noisy,(2b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G3A5\2025-02-20\15-10-30\behavior\G3A5_GNG_20250220_151130.mat,Blue,Passive - bad,P68,"good: 13, MUA: 60, non-somatic: 47",,male,,Speaker noise - hole in the poll,Z:\Shared\Amichai\Data\pipeline_output\catgt_G3A5_rec2_g0
FALSE,G4A2,8/4/2025,vlOFC (imec1) / Acx (imec0),3800/3500,77/90,G4A2_2b_4t_expert_g0,Noisy,(2b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G4A2\2025-04-08\11-19-30\behavior\A2_GNG_20250408_102554.mat,Blue,Good,P86,"good: 0, MUA: 113, non-somatic: 103","good: 4, MUA: 45, non-somatic: 34",male,,hole in the pool,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A2_2b_4t_expert_g0
FALSE,G4A3,6/4/2025,vlOFC (imec1) / Acx (imec0),3800/3500,76/90,G4A3_2b_4t_expert_g0,Noisy,(2b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G4A3\2025-04-06\14-40-30\behavior\A3_GNG_20250406_140211.mat,Blue,Good,P84,"good: 0, MUA: 41, non-somatic: 25","good: 0, MUA: 37, non-somatic: 24",male,,hole in the pool,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A3_2b_4t_expert_g0
