MouseName,SessionDate,TrialTypes,Outcomes,Stimuli,Licks,Notes,FilePath,Tones_per_class,N_Boundaries
0007DEFBE1,2025-09-07,"['Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go']","['Hit', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss']",[0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707],"[array([0.713919]), None, array([0.043728]), array([1.336801]), None, None, None, None, None, None, None, None, None, None, array([2.127285]), None, None, None, None, None, None, None, None, array([2.945808]), None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, array([2.295188]), array([0.30889]), array([1.005919]), array([1.590778]), array([0.703064]), array([1.107977]), array([1.004984]), None, None, None, array([0.45198]), array([0.048923]), None, array([3.11268]), None, None, None, None, None, None, None, None, array([1.728462]), None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, array([1.399043]), array([0.367208]), None, None, None, None, None, None, array([0.361714]), array([0.685847]), None, None, None, None, None, array([1.904401]), array([1.81109]), None, None, array([0.93425]), None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, array([2.551409]), None, None, None, None, None, None, None, array([0.93412]), array([0.543692]), array([0.762219]), array([1.027017]), array([0.93299]), array([0.615755]), None, array([1.653664]), None, None, None, array([0.705073]), array([0.621357]), None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",TA,Z:\Shared\Noam\results\pilot_amichai_07_09_2025\pilot_amichai_07_09_2025.txt,1,1
000822D804,2025-09-07,"['Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go']","['Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit']",[0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707],"[array([0.072642]), None, None, None, array([0.04426]), None, array([0.466982]), None, None, None, None, None, None, None, None, None, None, None, None, array([0.937028]), None, None, None, None, array([1.993934]), None, None, None, None, array([1.743338]), None, None, None, array([0.383658]), None, None, array([1.021857]), None, None, None, array([0.033508]), array([0.516957]), None, None, array([1.431592]), array([2.861532]), None, array([0.62744]), array([0.283267]), array([2.697075]), array([0.546041]), None, array([0.615378]), None, None, array([1.100743]), array([0.543609]), array([0.279986]), array([0.287829]), array([1.480165]), array([0.468966]), array([0.62009]), None, None, array([0.468811]), array([0.52038]), array([0.546363]), array([0.22645]), array([0.201461]), None, None, None, array([0.461224]), array([0.11228]), None, None, None, None, None, array([1.162766]), None, None, array([2.316525]), None, array([0.788954]), array([0.438272]), array([0.4594]), array([0.541792]), array([0.521906]), None, None, array([0.917061]), array([0.700206]), array([0.469574]), array([0.61672]), array([0.37466]), array([0.048541]), array([0.865661]), array([0.200936]), array([0.689397]), array([0.280095]), array([0.195904]), array([0.372005]), None, None, None, None, array([0.627544]), array([0.123244]), None, None, array([0.785785]), None, None, array([0.46835]), array([0.44378]), array([0.851207]), array([0.754398]), array([0.312734]), array([0.042874]), array([0.361499]), array([0.382454]), array([1.890189]), array([1.592593]), None, array([0.687044]), array([0.442108]), array([0.049561]), array([1.410614])]",TA,Z:\Shared\Noam\results\pilot_amichai_07_09_2025\pilot_amichai_07_09_2025.txt,1,1
000822F347,2025-09-07,"['Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go']","['Miss', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Miss', 'Hit', 'Miss', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Hit', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit']",[0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707],"[None, array([0.063692]), None, array([0.69011]), None, None, array([0.121347]), None, array([0.386914]), array([0.774161]), array([0.371562]), None, None, None, None, None, None, None, None, None, array([0.134563]), array([0.123167]), array([0.061998]), None, None, None, array([0.872712]), None, None, None, None, None, None, array([1.658264]), None, None, None, None, None, None, None, None, None, None, None, None, None, array([1.426578]), None, array([1.973137]), None, array([2.152127]), None, array([0.70117]), None, array([0.28004]), None, None, None, None, None, None, None, None, None, None, array([0.459801]), array([0.046268]), array([0.040575]), array([1.563386]), None, None, array([0.121708]), array([0.612871]), None, array([0.537556]), None, None, array([0.789452]), None, array([2.280745]), array([0.59897]), None, None, None, None, None, None, array([0.357835]), None, None, array([0.546709]), None, array([0.447656]), array([0.129257]), array([0.949384]), array([2.227785]), None, None, None, None, array([0.11136]), array([0.289628]), None, array([2.042649]), None, array([0.552749]), array([0.040754]), None, None, None, array([0.356215]), None, array([0.203671]), None, array([2.781704]), array([2.626353]), array([1.32894]), None, None, None, array([0.278885]), array([0.368588]), None, None, None, None, array([2.117152]), array([1.716941]), None, None, None, array([1.397804]), array([0.206064]), array([2.864335]), array([0.847613]), array([0.679478]), None, None, array([0.301766]), array([0.200141]), array([1.162596]), None, None, None, None, None, None, array([0.049824]), None, array([0.701748]), array([0.298178]), array([1.25311]), None, array([0.593726]), array([0.287591]), array([0.301114]), array([1.802809]), array([0.446555]), array([0.114171]), array([2.142055]), array([1.098728]), array([0.708428]), array([0.948025]), array([0.204741]), array([0.847077]), None, array([2.461004]), array([1.419599]), array([0.038198]), None, array([0.618404]), array([0.298708]), array([0.621628]), array([1.241853]), array([0.699478]), array([0.373096]), array([0.19234]), array([2.698042]), None, array([0.21928]), None, None, array([2.203813]), array([0.631556]), array([0.043816]), array([0.199746]), array([0.451485]), array([0.352405]), array([0.386496]), array([0.148735])]",TA,Z:\Shared\Noam\results\pilot_amichai_07_09_2025\pilot_amichai_07_09_2025.txt,1,1
00082F18E9,2025-09-07,"['Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go']","['Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Miss', 'Miss', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Hit', 'Hit', 'Hit', 'Hit', 'Hit', 'Miss', 'Miss', 'Miss', 'Miss', 'Hit', 'Hit', 'Miss', 'Miss']",[0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707 0.707],"[array([0.124734]), None, None, array([0.217266]), None, array([0.518427]), None, array([3.00942]), None, None, None, None, None, None, None, None, None, None, None, None, array([1.879252]), array([1.740233]), None, array([0.844548]), None, None, None, None, array([0.309954]), None, None, array([0.621656]), array([0.541267]), array([0.121158]), None, None, array([0.438837]), None, None, None, array([0.071078]), array([0.543393]), array([0.70049]), None, array([0.291084]), array([0.033213]), None, None, None, array([0.868012]), None, None, None, array([0.373071]), None, None, None, None, None, array([0.607052]), None, None, array([1.494788]), array([0.606126]), array([0.042702]), array([0.538809]), array([0.126624]), array([0.202573]), array([0.199991]), None, array([0.378163]), array([0.387651]), array([0.205451]), None, None, None, None, None, array([2.448212]), array([0.622932]), None, array([0.798092]), array([0.542974]), array([0.061044]), array([0.069635]), array([0.296385]), array([0.844071]), None, array([0.20943]), array([0.639696]), array([0.136285]), None, None, array([0.540929]), array([0.622285]), array([0.207913]), array([0.362343]), array([0.697366]), None, None, None, array([0.762348]), array([0.147709]), None, None, array([0.381494]), None, None, None, None, array([0.359448]), None, None, array([1.564882]), None, array([0.384434]), array([0.940558]), array([0.614759]), None, array([1.422953]), array([0.275873]), array([0.205844]), array([0.208311]), array([0.36915]), array([0.035941]), array([0.313908]), array([0.116859]), array([0.626147]), array([0.297982]), array([0.140926]), array([0.510995]), array([0.382502]), array([0.298853]), array([0.144077]), array([0.208752]), None, None, None, None, None, None, array([0.213298]), array([0.46846]), array([0.4569]), array([0.684488]), array([0.379171]), array([0.122829]), None, array([1.414742]), array([0.632666]), array([0.114637]), array([0.530345]), array([0.277047]), None, None, None, None, array([0.539843]), array([0.036043]), None, None]",TA,Z:\Shared\Noam\results\pilot_amichai_07_09_2025\pilot_amichai_07_09_2025.txt,1,1
