stim_i,stim_j,cat_i,cat_j,pair_type,similarity,dissimilarity
0.7367347870505897,0.8000086869052582,Go,Go,within_go,0.008299784742644346,0.4958501076286778
0.7367347870505897,0.868716816924144,Go,Go,within_go,-0.09554108304958644,0.5477705415247932
0.7367347870505897,1.1589698549675345,Go,NoGo,across,-0.36976471571398106,0.6848823578569905
0.7367347870505897,1.2934546947659762,Go,NoGo,across,-0.33516830177845025,0.6675841508892251
0.7367347870505897,1.44354492072532,Go,NoGo,across,-0.4127643394224174,0.7063821697112087
0.8000086869052582,0.868716816924144,Go,Go,within_go,-0.06915765707510597,0.534578828537553
0.8000086869052582,1.1589698549675345,Go,NoGo,across,-0.39645824914026145,0.6982291245701308
0.8000086869052582,1.2934546947659762,Go,NoGo,across,-0.40232346095547694,0.7011617304777384
0.8000086869052582,1.44354492072532,Go,NoGo,across,-0.31137734069140455,0.6556886703457023
0.868716816924144,1.1589698549675345,Go,NoGo,across,-0.24970665026410188,0.6248533251320509
0.868716816924144,1.2934546947659762,Go,NoGo,across,-0.2562344377110873,0.6281172188555436
0.868716816924144,1.44354492072532,Go,NoGo,across,-0.29066554027454083,0.6453327701372704
1.1589698549675345,1.2934546947659762,NoGo,NoGo,within_nogo,0.21057259019153324,0.3947137049042334
1.1589698549675345,1.44354492072532,NoGo,NoGo,within_nogo,0.03819586022260064,0.48090206988869966
1.2934546947659762,1.44354492072532,NoGo,NoGo,within_nogo,-0.018421101779610514,0.5092105508898053
