stim_i,stim_j,cat_i,cat_j,pair_type,similarity,dissimilarity
0.7367347870505897,0.8000086869052582,Go,Go,within_go,-0.14301557466458076,0.5715077873322904
0.7367347870505897,0.868716816924144,Go,Go,within_go,-0.3333682544766336,0.6666841272383168
0.7367347870505897,0.9433258917802092,Go,Go,within_go,0.25452679576763165,0.3727366021161842
0.7367347870505897,1.0384678567860421,Go,NoGo,across,-0.2173933269835161,0.6086966634917581
0.7367347870505897,1.1589698549675345,Go,NoGo,across,-0.056288334138087835,0.5281441670690439
0.7367347870505897,1.2934546947659762,Go,NoGo,across,-0.30896005646618463,0.6544800282330923
0.7367347870505897,1.44354492072532,Go,NoGo,across,0.19587547965389634,0.4020622601730518
0.7367347870505897,1.5892005137748781,Go,Go,within_go,0.09473514062227366,0.4526324296888632
0.7367347870505897,1.725823597954066,Go,Go,within_go,-0.1907659138350424,0.5953829569175212
0.7367347870505897,1.8741921270716624,Go,Go,within_go,-0.08568643425555492,0.5428432171277775
0.7367347870505897,2.0353158534519538,Go,Go,within_go,-0.1557505910320187,0.5778752955160094
0.8000086869052582,0.868716816924144,Go,Go,within_go,0.2958730992618943,0.35206345036905284
0.8000086869052582,0.9433258917802092,Go,Go,within_go,0.037182508103366846,0.48140874594831656
0.8000086869052582,1.0384678567860421,Go,NoGo,across,0.15076887498480732,0.42461556250759636
0.8000086869052582,1.1589698549675345,Go,NoGo,across,-0.19962153124361356,0.5998107656218068
0.8000086869052582,1.2934546947659762,Go,NoGo,across,-0.2999153704244886,0.6499576852122443
0.8000086869052582,1.44354492072532,Go,NoGo,across,-0.4227624113364414,0.7113812056682207
0.8000086869052582,1.5892005137748781,Go,Go,within_go,-0.1695643369151845,0.5847821684575922
0.8000086869052582,1.725823597954066,Go,Go,within_go,0.0499872466160258,0.4750063766919871
0.8000086869052582,1.8741921270716624,Go,Go,within_go,-0.3784766279891111,0.6892383139945555
0.8000086869052582,2.0353158534519538,Go,Go,within_go,-0.1006774774984041,0.550338738749202
0.868716816924144,0.9433258917802092,Go,Go,within_go,-0.12269362898557003,0.561346814492785
0.868716816924144,1.0384678567860421,Go,NoGo,across,0.004625945056707914,0.49768702747164606
