stim_i,stim_j,cat_i,cat_j,pair_type,similarity,dissimilarity
0.7367347870505897,0.8000086869052582,Go,Go,within_go,-0.1397207537335538,0.5698603768667769
0.7367347870505897,0.868716816924144,Go,Go,within_go,-0.03874067089570465,0.5193703354478523
0.7367347870505897,0.9433258917802092,Go,Go,within_go,0.04328657726659638,0.4783567113667018
0.7367347870505897,1.0384678567860421,Go,NoGo,across,-0.41268607331454726,0.7063430366572736
0.7367347870505897,1.1589698549675345,Go,NoGo,across,-0.07443691945728502,0.5372184597286425
0.7367347870505897,1.2934546947659762,Go,NoGo,across,-0.03248815544335668,0.5162440777216784
0.7367347870505897,1.44354492072532,Go,NoGo,across,0.004388809776407171,0.4978055951117964
0.7367347870505897,1.5892005137748781,Go,Go,within_go,-0.12491493143470639,0.5624574657173532
0.7367347870505897,1.725823597954066,Go,Go,within_go,-0.023218961528777643,0.5116094807643888
0.7367347870505897,1.8741921270716624,Go,Go,within_go,-0.1845290106752863,0.5922645053376432
0.7367347870505897,2.0353158534519538,Go,Go,within_go,-0.15409243404456857,0.5770462170222843
0.8000086869052582,0.868716816924144,Go,Go,within_go,-0.035546282610727474,0.5177731413053638
0.8000086869052582,0.9433258917802092,Go,Go,within_go,-0.26103838263208884,0.6305191913160444
0.8000086869052582,1.0384678567860421,Go,NoGo,across,0.037547153082106675,0.4812264234589467
0.8000086869052582,1.1589698549675345,Go,NoGo,across,-0.050593553455384875,0.5252967767276925
0.8000086869052582,1.2934546947659762,Go,NoGo,across,0.054863261649747225,0.4725683691751264
0.8000086869052582,1.44354492072532,Go,NoGo,across,-0.1856159352523757,0.5928079676261878
0.8000086869052582,1.5892005137748781,Go,Go,within_go,-0.20468007102715466,0.6023400355135773
0.8000086869052582,1.725823597954066,Go,Go,within_go,-0.04063364521575858,0.5203168226078793
0.8000086869052582,1.8741921270716624,Go,Go,within_go,-0.15967375496319286,0.5798368774815964
0.8000086869052582,2.0353158534519538,Go,Go,within_go,-0.043067465128632944,0.5215337325643165
0.868716816924144,0.9433258917802092,Go,Go,within_go,-0.0622149705033817,0.5311074852516908
0.868716816924144,1.0384678567860421,Go,NoGo,across,-0.03876120166406458,0.5193806008320323
0.868716816924144,1.1589698549675345,Go,NoGo,across,-0.10051806051366301,0.5502590302568315
0.868716816924144,1.2934546947659762,Go,NoGo,across,-0.11200011967620875,0.5560000598381044
0.868716816924144,1.44354492072532,Go,NoGo,across,-0.04982459585094159,0.5249122979254708
0.868716816924144,1.5892005137748781,Go,Go,within_go,-0.13696628461585367,0.5684831423079268
0.868716816924144,1.725823597954066,Go,Go,within_go,-0.1297710422029637,0.5648855211014818
0.868716816924144,1.8741921270716624,Go,Go,within_go,-0.01792972945761864,0.5089648647288093
0.868716816924144,2.0353158534519538,Go,Go,within_go,-0.24199825976399655,0.6209991298819982
0.9433258917802092,1.0384678567860421,Go,NoGo,across,-0.13328959314733227,0.5666447965736662
0.9433258917802092,1.1589698549675345,Go,NoGo,across,-0.15712134201693104,0.5785606710084655
0.9433258917802092,1.2934546947659762,Go,NoGo,across,-0.27402181791866287,0.6370109089593314
0.9433258917802092,1.44354492072532,Go,NoGo,across,0.14681676919286252,0.4265916154035687
0.9433258917802092,1.5892005137748781,Go,Go,within_go,-0.04270981958822245,0.5213549097941113
0.9433258917802092,1.725823597954066,Go,Go,within_go,-0.05431475138849265,0.5271573756942464
0.9433258917802092,1.8741921270716624,Go,Go,within_go,-0.18079900573819851,0.5903995028690993
0.9433258917802092,2.0353158534519538,Go,Go,within_go,-0.02160757378899799,0.510803786894499
1.0384678567860421,1.1589698549675345,NoGo,NoGo,within_nogo,0.1931133990469529,0.40344330047652355
1.0384678567860421,1.2934546947659762,NoGo,NoGo,within_nogo,-0.006809907529796844,0.5034049537648985
1.0384678567860421,1.44354492072532,NoGo,NoGo,within_nogo,-0.2738579533623319,0.6369289766811659
1.0384678567860421,1.5892005137748781,NoGo,Go,across,-0.06646807787671061,0.5332340389383553
1.0384678567860421,1.725823597954066,NoGo,Go,across,-0.2712467588100289,0.6356233794050145
1.0384678567860421,1.8741921270716624,NoGo,Go,across,0.06908351094837588,0.4654582445258121
1.0384678567860421,2.0353158534519538,NoGo,Go,across,-0.11343641155952805,0.556718205779764
1.1589698549675345,1.2934546947659762,NoGo,NoGo,within_nogo,0.020697976492367706,0.48965101175381615
1.1589698549675345,1.44354492072532,NoGo,NoGo,within_nogo,-0.29715276760206066,0.6485763838010303
1.1589698549675345,1.5892005137748781,NoGo,Go,across,-0.14634990469764417,0.5731749523488221
1.1589698549675345,1.725823597954066,NoGo,Go,across,-0.09994529291348811,0.549972646456744
1.1589698549675345,1.8741921270716624,NoGo,Go,across,-0.07578852137979582,0.5378942606898979
1.1589698549675345,2.0353158534519538,NoGo,Go,across,-0.15537966473103199,0.577689832365516
1.2934546947659762,1.44354492072532,NoGo,NoGo,within_nogo,-0.06450808258781329,0.5322540412939066
1.2934546947659762,1.5892005137748781,NoGo,Go,across,-0.21205928561169574,0.6060296428058478
1.2934546947659762,1.725823597954066,NoGo,Go,across,-0.2087169156424522,0.6043584578212261
1.2934546947659762,1.8741921270716624,NoGo,Go,across,-0.013206257434126439,0.5066031287170633
1.2934546947659762,2.0353158534519538,NoGo,Go,across,0.06348271953393086,0.46825864023303454
1.44354492072532,1.5892005137748781,NoGo,Go,across,0.018967859786414795,0.4905160701067926
1.44354492072532,1.725823597954066,NoGo,Go,across,-0.03641968634818072,0.5182098431740904
1.44354492072532,1.8741921270716624,NoGo,Go,across,-0.031534641892623394,0.5157673209463117
1.44354492072532,2.0353158534519538,NoGo,Go,across,-0.07236864040688847,0.5361843202034442
1.5892005137748781,1.725823597954066,Go,Go,within_go,-0.07107781590112129,0.5355389079505607
1.5892005137748781,1.8741921270716624,Go,Go,within_go,-0.0031000113766403384,0.5015500056883202
1.5892005137748781,2.0353158534519538,Go,Go,within_go,-0.08749945987562872,0.5437497299378143
1.725823597954066,1.8741921270716624,Go,Go,within_go,-0.18603193556404515,0.5930159677820226
1.725823597954066,2.0353158534519538,Go,Go,within_go,0.061929411317465655,0.4690352943412672
1.8741921270716624,2.0353158534519538,Go,Go,within_go,-0.24427583330360314,0.6221379166518015
