stim_i,stim_j,cat_i,cat_j,pair_type,similarity,dissimilarity
0.7367347870505897,0.8000086869052582,Go,Go,within_go,-0.2942223173839817,0.6471111586919909
0.7367347870505897,0.868716816924144,Go,Go,within_go,-0.13073169885463312,0.5653658494273166
0.7367347870505897,1.2934546947659762,Go,NoGo,across,-0.3000381674117157,0.6500190837058578
0.7367347870505897,1.44354492072532,Go,NoGo,across,-0.3192326570943082,0.6596163285471541
0.8000086869052582,0.868716816924144,Go,Go,within_go,-0.24549461638884093,0.6227473081944205
0.8000086869052582,1.2934546947659762,Go,NoGo,across,-0.19060086828757786,0.595300434143789
0.8000086869052582,1.44354492072532,Go,NoGo,across,-0.24206733610132306,0.6210336680506615
0.868716816924144,1.2934546947659762,Go,NoGo,across,-0.40258873334990813,0.701294366674954
0.868716816924144,1.44354492072532,Go,NoGo,across,-0.20067976217237715,0.6003398810861886
1.2934546947659762,1.44354492072532,NoGo,NoGo,within_nogo,-0.16951056350916127,0.5847552817545807
