,mds_1,mds_2,mds_stress
0.7367347870505897,-0.36898043169026123,0.10196077159843489,2.132311404894346
0.8000086869052582,0.07254894096407327,0.3654704574424546,2.132311404894346
0.868716816924144,0.23332289355907787,-0.28658192539459487,2.132311404894346
0.9433258917802092,0.0047992740523339905,-0.08878550320382658,2.132311404894346
1.0384678567860421,0.28815278255709653,0.24925776818032158,2.132311404894346
1.1589698549675345,-0.23176233091492482,-0.31646073072465397,2.132311404894346
1.2934546947659762,-0.3794637054847108,-0.11149364488173083,2.132311404894346
1.44354492072532,-0.13139586483576826,0.13980691103398457,2.132311404894346
1.5892005137748781,0.3818482593931003,-0.0848302277533722,2.132311404894346
1.725823597954066,-0.18095978689383435,0.36160497376179657,2.132311404894346
1.8741921270716624,0.3265205246301442,0.06803562433879118,2.132311404894346
2.0353158534519538,-0.01463055533632664,-0.39798447439760487,2.132311404894346
