,0.7070000000000001,0.769344846128565,0.7890990840419705,0.837187400657122,0.8807317743081708,0.9110124638462896,1.07876684098121,1.1738949211927685,1.2245599209511964,1.27741160893374,1.3667597057667562,1.390056630435602,1.5254721809420373,1.64602248543222,1.7026148524934492,1.7911724409886975,1.9003278933222565,1.9491220452647464,2.121
0.7070000000000001,3,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,3
0.769344846128565,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
0.7890990840419705,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0.837187400657122,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
0.8807317743081708,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0.9110124638462896,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
1.07876684098121,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
1.1738949211927685,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
1.2245599209511964,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
1.27741160893374,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
1.3667597057667562,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
1.390056630435602,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
1.5254721809420373,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
1.64602248543222,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
1.7026148524934492,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
1.7911724409886975,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
1.9003278933222565,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
1.9491220452647464,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,0,2,2
2.121,3,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,3
