learning_stage,area,n_sessions,within_go_mean,within_go_sem,within_go_median,within_nogo_mean,within_nogo_sem,within_nogo_median,within_avg_mean,within_avg_sem,within_avg_median,across_mean,across_sem,across_median,categoricality_index_mean,categoricality_index_sem,categoricality_index_median,separation_index_mean,separation_index_sem,separation_index_median,d_prime_pairs_mean,d_prime_pairs_sem,d_prime_pairs_median,var_within_go_mean,var_within_go_sem,var_within_go_median,var_within_nogo_mean,var_within_nogo_sem,var_within_nogo_median,var_across_mean,var_across_sem,var_across_median
1b Expert,ACx,9,-0.20480124459957227,0.03641893642590031,-0.2021794227298998,-0.11283907988875168,0.03984547139204143,-0.11408484235903897,-0.16739654852138247,0.028156340974101673,-0.16666666666666666,-0.15024670708228757,0.03726822118339959,-0.16955846267484653,0.00344934506734214,0.046553924140069244,-0.0006763869941037726,0.0002555194382516247,0.02089559211977385,-6.848285790546447e-05,0.3955956653120615,0.2657714060024541,0.03678944649045167,0.2731019243790098,0.1731828170273555,0.011609290508139497,0.3158306559412348,0.1929866812042507,0.030822590481994025,0.2799367638139045,0.17175443960096254,0.019597342275857785
1b Expert,OFC,6,-0.0759800764775411,0.022946357523030318,-0.10582171449834843,-0.11467281404489012,0.057732885813628086,-0.11883938124225676,-0.1136280108847953,0.05024573596309914,-0.11019486098907819,-0.2622035231483816,0.028994455558682464,-0.24140365833001953,0.19210589831437122,0.048025336424084825,0.19085225841790682,0.0825151328046695,0.020856160681842626,0.07813368474328461,1.7918991780972706,0.7133682624666936,1.1233626362670954,0.07593435255541997,0.06979947478958472,0.007140143030928382,0.015987866668534252,0.00516737244455876,0.014226221397286198,0.023417987759785607,0.010279021649005038,0.01174635833666774
2b Expert,ACx,6,-0.061048816009035146,0.01130440069728533,-0.06149485144461831,0.02446833929224111,0.09154006165156951,-0.044171514134664844,-0.04595755330880993,0.024463633079100985,-0.06162980586125574,-0.11966405783537735,0.03162159706271487,-0.11507374806976467,0.07370650452656745,0.055026644617618393,0.05344394220850893,0.0336045507560061,0.025300531118985836,0.02455355654336887,0.2691282818864101,0.21692971523565593,0.2290555089101824,0.05051321527887276,0.012439085158588476,0.05150062473013679,0.08632179119844319,0.03390851537377064,0.05516710010498601,0.05182638704003473,0.012621067392624174,0.05335438987115331
2b Expert,OFC,3,-0.08293908929464193,0.01964828694123694,-0.09769165749676748,-0.05909371356697718,0.03354660656847319,-0.07946224245245909,-0.07873108181328932,0.012227650903617627,-0.0870657568841658,-0.08003774245731807,0.006470203907621971,-0.08267370999495773,0.0013066606440287343,0.017005043997302575,-0.011800991905755343,0.000651582396016971,0.007910695432173185,-0.0054203892767604525,-0.0069742636456041895,0.07194535778044407,-0.058070809987470814,0.06477167533759119,0.02606762799713702,0.07677746031643283,0.12015875468876258,0.08448438767479689,0.06527605502379003,0.05577306298115368,0.021889696441656524,0.06096193013014515
Novice,ACx,5,-0.0992196686416585,0.0074955229237574,-0.09688181081655799,-0.0790333792365776,0.037183275410267475,-0.07141955592378034,-0.10418135195271194,0.01405475096778465,-0.0945133589387511,-0.12421997700311918,0.017548583802919217,-0.12163719028422544,0.02003862505040721,0.024027228066306812,-0.0023315705590349484,0.008906548984457096,0.010612334072302356,-0.001038281252266953,0.13664467553272314,0.1343727894681947,-0.03500180780779781,0.052714826385069136,0.03712045922974235,0.010734181817563866,0.042296128394643494,0.016088896699821675,0.039589456645920354,0.04031065351547371,0.026632849928889837,0.013190790528390669
Novice,OFC,6,-0.12796964900314675,0.013010341093594172,-0.12022045730275574,-0.07705813028318004,0.028445498418331105,-0.0706366533354397,-0.11974830858658941,0.014288160390396511,-0.11796664803151409,-0.11701297654458515,0.007321550857154055,-0.12269181063282183,-0.0027353320420042634,0.010177613072362937,0.007244290399827755,-0.0010732515441215782,0.004495087818873105,0.0033041362659361525,-0.004966610147201955,0.07982368995419867,0.039686474945857426,0.017171166978550808,0.00423190405620859,0.01587491116648321,0.03884879081324956,0.010908328895372878,0.031410161024563066,0.018693181168200523,0.005676488323456548,0.015367468299893206
