,mds_1,mds_2,mds_stress
0.7367347870505897,-0.31229619596321323,0.14528179506127772,2.125348918228167
0.8000086869052582,0.17986518918443029,-0.29616643585125446,2.125348918228167
0.868716816924144,0.01635322519307423,-0.3860899817221107,2.125348918228167
0.9433258917802092,-0.136950569709551,-0.0269187812424199,2.125348918228167
1.0384678567860421,0.3315824455039962,-0.17997286205597124,2.125348918228167
1.1589698549675345,0.32388243994638544,0.02980559203087545,2.125348918228167
1.2934546947659762,-0.25959939527619613,-0.3032962427601133,2.125348918228167
1.44354492072532,0.08552685080958934,0.19590276203827134,2.125348918228167
1.5892005137748781,-0.2219582743489538,0.30709270630122504,2.125348918228167
1.725823597954066,0.36642400465805025,0.20978295210220882,2.125348918228167
1.8741921270716624,-0.4055948637780449,-0.09380662030460704,2.125348918228167
2.0353158534519538,0.032765143780433215,0.3983851164026181,2.125348918228167
