,0.7070000000000001,0.769344846128565,0.837187400657122,0.9110124638462896,1.07876684098121,1.1738949211927685,1.27741160893374,1.390056630435602,1.64602248543222,1.7911724409886975,1.9491220452647464,2.121
0.7070000000000001,2,2,2,2,2,2,2,2,2,2,2,2
0.769344846128565,2,2,2,2,2,2,2,2,2,2,2,2
0.837187400657122,2,2,2,2,2,2,2,2,2,2,2,2
0.9110124638462896,2,2,2,2,2,2,2,2,2,2,2,2
1.07876684098121,2,2,2,2,2,2,2,2,2,2,2,2
1.1738949211927685,2,2,2,2,2,2,2,2,2,2,2,2
1.27741160893374,2,2,2,2,2,2,2,2,2,2,2,2
1.390056630435602,2,2,2,2,2,2,2,2,2,2,2,2
1.64602248543222,2,2,2,2,2,2,2,2,2,2,2,2
1.7911724409886975,2,2,2,2,2,2,2,2,2,2,2,2
1.9491220452647464,2,2,2,2,2,2,2,2,2,2,2,2
2.121,2,2,2,2,2,2,2,2,2,2,2,2
