,mds_1,mds_2,mds_stress
0.7367347870505897,0.2277310193317496,-0.3040018415798397,1.6359289152164929
0.8000086869052582,-0.05930245699180643,-0.3696463334408656,1.6359289152164929
0.868716816924144,-0.3387510900059408,0.17005304844076935,1.6359289152164929
0.9433258917802092,0.38553808737705875,-0.028479059133732783,1.6359289152164929
1.0384678567860421,0.22972311101752066,0.2929253991090793,1.6359289152164929
1.1589698549675345,0.30382172352695663,0.14026459677186562,1.6359289152164929
1.2934546947659762,0.047439306114028204,0.40275765720617585,1.6359289152164929
1.44354492072532,-0.1770498553876153,0.29917668666622155,1.6359289152164929
1.5892005137748781,0.07376814685761336,-0.3065809156603525,1.6359289152164929
1.725823597954066,-0.2503567529033896,-0.1543544015786781,1.6359289152164929
1.8741921270716624,-0.029898288073796686,0.005586062845444287,1.6359289152164929
2.0353158534519538,-0.4126629508623785,-0.14770089964608746,1.6359289152164929
